b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.356419118,  451665835,  42360445
2,  2.023878152,  288328873,  42367473
3,  1.783093301,  317595938,  42534552
4,  1.747069444,  268280050,  42365123
5,  1.706195096,  265150975,  42684165
6,  1.715437096,  244796694,  42514834
7,  1.690461585,  236607789,  42518415
8,  1.699352287,  235515893,  42519603
9,  1.632541904,  219383149,  42474492
10,  1.612616024,  210376587,  42410477
11,  1.625123578,  208095641,  42486328
12,  1.607961228,  197244446,  42390031
13,  1.603102606,  201047194,  42493145
14,  1.589916502,  196386085,  42530870
15,  1.583851444,  195764966,  42514762
16,  1.562802976,  195601134,  42425570
17,  1.629219766,  185976810,  42518047
18,  1.534640091,  187124434,  42462400
19,  1.628726284,  181782546,  42470665
20,  1.529816789,  181880840,  42448342
21,  1.655032358,  180311583,  42451195
22,  1.534637881,  182905117,  42487511
23,  1.667301994,  178999001,  42495266
24,  1.545476361,  184533085,  42498448
25,  1.625828143,  184288703,  48003839
26,  1.633873261,  175673466,  42525664
27,  1.620732935,  183084754,  47883357
28,  1.577751926,  172161744,  42574040
29,  1.615691307,  182840726,  47604113
30,  1.618878595,  175471082,  42659180
31,  1.642939104,  183252576,  47711769
32,  1.573384308,  166032903,  42565890
33,  1.614543217,  180030918,  46977172
34,  1.633662457,  176083837,  42890353
35,  1.618370994,  181606995,  47093855
36,  1.580663062,  174453856,  42961741
37,  1.620226985,  184967688,  47106842
38,  1.623680300,  178759782,  43221988
39,  1.628649278,  187760794,  47326741
40,  1.606512258,  188302551,  50076285
41,  1.620651298,  186839807,  49871470
42,  1.643775559,  184006596,  43776297
43,  1.638041333,  189641684,  50298672
44,  1.595805564,  182800814,  43973991
45,  1.645056651,  192638893,  50614877
46,  1.645423375,  186482772,  44830781
47,  1.654405461,  193388086,  51166704
48,  1.598534807,  190840688,  45799281
49,  1.641528769,  188900346,  53294856
50,  1.649462556,  185857523,  45699467
51,  1.655284899,  189632452,  53553924
52,  1.605370384,  182422344,  45559131
53,  1.661667725,  191236792,  53745383
54,  1.658009725,  184493074,  46624177
55,  1.666857300,  191372139,  53718105
56,  1.632319904,  178812739,  55996276
57,  1.663794183,  189120580,  59147057
58,  1.658906750,  183215352,  47447315
59,  1.676575595,  189924208,  59872044
60,  1.615844750,  180077109,  47456337
61,  1.683556581,  191190018,  60094378
62,  1.673724420,  182001432,  48618650
63,  1.687062287,  191567836,  60035006
64,  1.594410824,  175143667,  46376827
65,  1.680578558,  187647023,  61107414
66,  1.668234697,  185381668,  60307552
67,  1.686630485,  188343386,  61344057
68,  1.658783235,  183013535,  59131238
69,  1.684826558,  189313136,  60998173
