b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.355990974,  451684021,  42363579
2,  2.018894928,  288326376,  42364646
3,  1.779472853,  317659631,  42535227
4,  1.742827329,  268343092,  42371966
5,  1.702639337,  265228274,  42688206
6,  1.714691981,  244817248,  42516603
7,  1.688120921,  236666370,  42526953
8,  1.696593118,  235525688,  42516947
9,  1.629425023,  219428514,  42476996
10,  1.611598289,  210376251,  42418358
11,  1.618683300,  208074246,  42485061
12,  1.606605023,  197274763,  42399111
13,  1.601908996,  201057634,  42499336
14,  1.583933116,  196390081,  42535531
15,  1.583778948,  195797407,  42522544
16,  1.557700608,  195588484,  42428994
17,  1.626909092,  185955635,  42516646
18,  1.532509256,  187142192,  42469682
19,  1.626557980,  181800421,  42475010
20,  1.526279864,  181893231,  42456574
21,  1.652958617,  180312378,  42459665
22,  1.528458725,  182914884,  42492497
23,  1.664091830,  179015012,  42502973
24,  1.519557041,  184486470,  42510323
25,  1.606297936,  184583692,  48064938
26,  1.630803611,  175701300,  42535632
27,  1.619067944,  183069968,  47890008
28,  1.566804751,  172153862,  42574883
29,  1.602199516,  182811105,  47620761
30,  1.606778868,  175490406,  42668188
31,  1.641993669,  183180183,  47745815
32,  1.570850784,  166059684,  42570969
33,  1.602459498,  180090341,  47036930
34,  1.621435653,  176091178,  42897261
35,  1.619244136,  181554876,  47152016
36,  1.580206898,  174484185,  42965476
37,  1.618564471,  185019047,  47164897
38,  1.611159150,  178759013,  43240215
39,  1.627310363,  187782794,  47395559
40,  1.607066311,  188329980,  50105271
41,  1.615960943,  186856817,  49931179
42,  1.642321651,  184008415,  43795518
43,  1.635507022,  189671494,  50356560
44,  1.590620223,  182838422,  43999384
45,  1.644405505,  192647582,  50657835
46,  1.636548410,  186509049,  44827200
47,  1.651873018,  193415302,  51198389
48,  1.585497867,  190842581,  45785908
49,  1.640010325,  188910021,  53336264
50,  1.646030504,  185871863,  45713728
51,  1.653915559,  189655875,  53603596
52,  1.603875088,  182445412,  45570169
53,  1.648153689,  191253979,  53773598
54,  1.656175103,  184511693,  46622776
55,  1.663272934,  191382853,  53766990
56,  1.629871250,  178788502,  56000755
57,  1.658497020,  189145484,  59180005
58,  1.656116115,  183213188,  47417578
59,  1.672203352,  189927530,  59871052
60,  1.609813880,  180094483,  47446935
61,  1.682346288,  191202053,  60113933
62,  1.673524346,  182014852,  48616460
63,  1.685811792,  191585616,  60041686
64,  1.586758191,  175166191,  46373804
65,  1.678233791,  187685398,  61149818
66,  1.668113845,  185394619,  60361664
67,  1.685562409,  188335536,  61353939
68,  1.655736211,  183032966,  59175680
69,  1.683781312,  189345080,  61012531
70,  1.664236439,  184657546,  60216120
71,  1.687751759,  189954005,  61116047
72,  1.661842676,  186163179,  60737510
73,  1.668183927,  185300692,  60311912
74,  1.657401336,  183553343,  59650958
75,  1.657309109,  185993333,  60240132
76,  1.628003002,  181539715,  58508585
77,  1.678485404,  187174384,  60287821
