b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.358641284,  451767939,  42353192
2,  2.023959171,  288400859,  42362398
3,  1.783664792,  317655858,  42530217
4,  1.748192211,  268353168,  42364617
5,  1.707210790,  265277747,  42677187
6,  1.718426484,  244896929,  42507066
7,  1.691342002,  236726740,  42514428
8,  1.701292796,  235603404,  42517181
9,  1.635337062,  219484663,  42469443
10,  1.613068056,  210445890,  42408896
11,  1.620681385,  208147347,  42467410
12,  1.608698055,  197329380,  42391464
13,  1.603698257,  201117436,  42494119
14,  1.589833245,  196473077,  42521026
15,  1.585359519,  195834337,  42507272
16,  1.560711240,  195646852,  42420469
17,  1.630428427,  186049070,  42508828
18,  1.536443661,  187199957,  42461213
19,  1.630334714,  181861053,  42469859
20,  1.530527495,  181977702,  42449859
21,  1.655005745,  180375736,  42449020
22,  1.534142787,  182982565,  42486654
23,  1.669826410,  179074324,  42487365
24,  1.545109644,  184565420,  42491959
25,  1.624892723,  184350375,  47992611
26,  1.634993919,  175767960,  42517200
27,  1.620252307,  183136010,  47855962
28,  1.577469721,  172226292,  42557068
29,  1.615394220,  182871589,  47568058
30,  1.617072345,  175563274,  42642177
31,  1.641755283,  183256690,  47674749
32,  1.572365595,  166106361,  42551171
33,  1.616982445,  180183826,  46945753
34,  1.634218417,  176161392,  42850622
35,  1.616991650,  181598048,  47044582
36,  1.579630102,  174530820,  42929786
37,  1.620420672,  185080393,  47066832
38,  1.621598379,  178821130,  43178603
39,  1.626792131,  187818168,  47296438
40,  1.607539865,  188373293,  49998133
41,  1.621027051,  186910743,  49834440
42,  1.644715173,  184050775,  43725551
43,  1.638342815,  189685935,  50267971
44,  1.598014275,  182884703,  43949134
45,  1.644223625,  192716053,  50611269
46,  1.644121783,  186553547,  44773918
47,  1.654882581,  193460373,  51140812
48,  1.599062165,  190914694,  45724913
49,  1.641758281,  188954678,  53268856
50,  1.651020235,  185948706,  45640541
51,  1.655496760,  189716056,  53533660
52,  1.606412233,  182509128,  45527010
53,  1.662222276,  191305262,  53726289
54,  1.659371454,  184570795,  46585430
55,  1.667432518,  191431635,  53699694
56,  1.632611834,  178857841,  55962000
57,  1.662087125,  189192536,  59109955
58,  1.658263753,  183306232,  47396694
59,  1.676836797,  189974038,  59846194
60,  1.617356482,  180159957,  47443368
61,  1.683950896,  191238499,  60063974
62,  1.674744882,  182071541,  48624075
63,  1.686723576,  191638147,  59967220
64,  1.594549314,  175231344,  46369526
65,  1.679441485,  187705552,  61031000
66,  1.670322547,  185439042,  60288051
67,  1.686592545,  188384989,  61231129
68,  1.658451844,  183071749,  59108655
69,  1.682734080,  189375191,  60881093
70,  1.666874477,  184687775,  60120542
71,  1.688973431,  189991575,  61001380
72,  1.672447069,  186213685,  60620282
73,  1.677260459,  185327482,  60191445
74,  1.665605151,  183605237,  59544297
75,  1.683126333,  186087239,  60114945
76,  1.652769624,  181571773,  58387448
77,  1.684642576,  187240790,  60194243
78,  1.669431245,  183085958,  59795604
79,  1.688767457,  187828162,  60334151
80,  1.685436791,  185401214,  61802310
81,  1.688483622,  184590987,  61313785
82,  1.681265741,  183077531,  60788491
83,  1.693174090,  185332042,  61219130
84,  1.668015833,  181313650,  59633703
85,  1.695130997,  186558305,  61242074
86,  1.680900560,  182648385,  60931783
87,  1.698558266,  186983142,  61169316
88,  1.699195897,  185279014,  63896031
89,  1.699276637,  184724725,  63280977
90,  1.692193839,  183252232,  62873655
91,  1.705809387,  185427617,  63352811
92,  1.682768949,  181690859,  61898115
93,  1.706536600,  186517386,  63542858
94,  1.696164896,  182887225,  63073000
95,  1.712492915,  186935728,  63665915
96,  1.709967523,  185026568,  64860727
97,  1.710870344,  184363467,  64349677
98,  1.704822448,  183156358,  63950435
99,  1.715292305,  185065051,  64321111
100,  1.693677981,  181899367,  63053633
101,  1.701319086,  186161902,  64192067
102,  1.713259483,  183049012,  64983263
103,  1.710487030,  186418566,  64029067
104,  1.714592597,  185257283,  66081771
105,  1.711859000,  184332669,  65546875
106,  1.708829441,  183363401,  65108653
107,  1.710504166,  184875044,  65435849
108,  1.683174911,  182044544,  64161084
109,  1.710623934,  185914325,  65079157
110,  1.685898824,  183049672,  65118410
111,  1.705439019,  186325253,  65012674
112,  1.674419055,  180260668,  64644554
113,  1.711941728,  185462279,  67687280
114,  1.710860890,  184190935,  67060781
115,  1.717153450,  186008338,  67504487
116,  1.697722828,  182969980,  66330470
117,  1.714616118,  186964645,  67256990
118,  1.698303294,  184102348,  67246310
119,  1.713166483,  187846656,  67557462
120,  1.714793352,  185539151,  68767028
121,  1.709209272,  185530706,  68372262
122,  1.708439496,  184322175,  68042240
123,  1.717757612,  186164973,  68459315
124,  1.700222636,  183257226,  67509344
125,  1.715427815,  187103193,  68213886
126,  1.705069319,  184347715,  67921201
127,  1.714435252,  187655599,  67989983
128,  1.683006140,  180507892,  65414054
129,  1.709715985,  185054368,  67637052
130,  1.700383115,  184048033,  67263547
131,  1.710133725,  185867651,  67072779
132,  1.698971209,  183316413,  66617293
133,  1.711421102,  187323351,  67162074
134,  1.701996864,  184461216,  67320323
135,  1.711950054,  187708144,  67027337
136,  1.691117330,  182378305,  66137919
137,  1.699704774,  186526424,  68147978
138,  1.704885039,  185642843,  67782623
139,  1.704341514,  187417072,  67904652
140,  1.700615068,  185005531,  67114156
141,  1.707324694,  188652494,  67622341
142,  1.706310549,  186286886,  67670010
143,  1.712304681,  189706015,  67653018
144,  1.711723586,  187776796,  68652933
145,  1.708581439,  187895056,  68372233
146,  1.705708189,  187076000,  68238170
147,  1.712985508,  188896769,  68293264
148,  1.699445455,  186669474,  67529425
149,  1.708842824,  190046842,  68165560
150,  1.704657323,  187780735,  68242205
151,  1.714288173,  190920237,  68505465
152,  1.710783312,  189258651,  69271477
