b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.357819721,  451815213,  42372440
2,  2.024012639,  288439948,  42384510
3,  1.788100789,  317714893,  42552671
4,  1.752025705,  268378266,  42403985
5,  1.704608372,  265307019,  42697044
6,  1.718672488,  244922872,  42533073
7,  1.692107252,  236756019,  42537857
8,  1.701644240,  235635434,  42534470
9,  1.633460862,  219540303,  42488428
10,  1.614851172,  210531300,  42441508
11,  1.626194348,  208218839,  42491134
12,  1.612395406,  197378543,  42408582
13,  1.606115312,  201193346,  42512530
14,  1.590295484,  196534637,  42543359
15,  1.585841203,  195886374,  42523373
16,  1.563864175,  195763930,  42437961
17,  1.633818417,  186102555,  42528245
18,  1.538680938,  187242193,  42476434
19,  1.633281740,  181914094,  42484029
20,  1.532513819,  181998919,  42460389
21,  1.659232395,  180421943,  42465181
22,  1.540262380,  183022835,  42500605
23,  1.671123639,  179115353,  42503844
24,  1.548080628,  184621171,  42509712
25,  1.632896450,  184422710,  48018329
26,  1.638194532,  175813324,  42539555
27,  1.626126516,  183218193,  47878620
28,  1.583336044,  172274115,  42581890
29,  1.620177534,  182969787,  47595265
30,  1.626320414,  175601256,  42660527
31,  1.648262192,  183308690,  47706827
32,  1.577337515,  166128350,  42572963
33,  1.618888325,  180171134,  46984610
34,  1.633763438,  176198969,  42882121
35,  1.622558195,  181757653,  47114423
36,  1.586822622,  174609708,  42958266
37,  1.624866379,  185133795,  47105636
38,  1.625290901,  178861160,  43224427
39,  1.634138800,  187905986,  47361968
40,  1.611238295,  188417761,  50064751
41,  1.627435637,  186975695,  49875083
42,  1.648654105,  184147378,  43776902
43,  1.641671614,  189780552,  50334326
44,  1.597783942,  182952377,  44000989
45,  1.649437080,  192813212,  50651344
46,  1.648576637,  186614243,  44839609
47,  1.662383137,  193572911,  51200173
48,  1.603077719,  190957968,  45771337
49,  1.646611212,  189024737,  53328970
50,  1.655023057,  186000757,  45716258
51,  1.658565668,  189776008,  53611166
52,  1.608034461,  182573318,  45570298
53,  1.669276743,  191388971,  53775062
54,  1.660657716,  184626872,  46636437
55,  1.661523855,  191514414,  53764531
56,  1.634280793,  178895718,  55989139
57,  1.657419640,  189250618,  59171775
58,  1.661259952,  183357925,  47460674
59,  1.675450103,  190039000,  59889369
60,  1.621098389,  180216964,  47480896
61,  1.687634376,  191333317,  60106240
62,  1.667690736,  182121077,  48648868
63,  1.688957754,  191698249,  60032827
64,  1.591297934,  175283464,  46441800
65,  1.681395537,  187771677,  61115308
66,  1.667819797,  185515735,  60361794
67,  1.686206575,  188461022,  61347039
68,  1.663587188,  183140186,  59183918
69,  1.689470861,  189465051,  60971327
70,  1.658225978,  184768915,  60227851
71,  1.682753437,  190088506,  61115294
72,  1.674683145,  186253705,  60704379
73,  1.681305156,  185382741,  60291599
74,  1.671785373,  183659869,  59656073
75,  1.682118475,  186119604,  60229442
76,  1.658479682,  181653848,  58504314
77,  1.651692956,  187330491,  60326353
78,  1.656891669,  183123565,  59917386
79,  1.694658631,  187883986,  60457363
80,  1.689841211,  185470904,  61938623
81,  1.692682074,  184651124,  61433056
82,  1.680896947,  183165788,  60931083
83,  1.698227101,  185383900,  61377252
84,  1.664115111,  181382474,  59804959
85,  1.697650336,  186630927,  61421159
86,  1.685817429,  182719396,  61061602
87,  1.702087156,  187059178,  61333437
88,  1.694180135,  185372553,  64038629
89,  1.705439305,  184804794,  63493786
90,  1.696554795,  183342896,  63069189
91,  1.711325545,  185474197,  63536705
92,  1.686335525,  181745811,  62088613
93,  1.715255916,  186581737,  63718008
94,  1.696998304,  182929481,  63240734
95,  1.718366481,  186991891,  63847963
96,  1.707728099,  185066528,  65022008
97,  1.714954342,  184424594,  64545015
98,  1.706023538,  183230199,  64161682
99,  1.719836905,  185121468,  64552749
100,  1.701082122,  181994157,  63283936
101,  1.720187603,  186226356,  64407705
102,  1.714982975,  183118287,  65202529
103,  1.720316315,  186500747,  64259768
104,  1.707142637,  185308709,  66274134
105,  1.713628128,  184402494,  65803977
106,  1.713327284,  183441484,  65340232
107,  1.708135856,  184964547,  65650066
108,  1.702491361,  182138765,  64362650
109,  1.706345944,  186008880,  65276225
110,  1.711069778,  183116076,  65339832
111,  1.715023414,  186385499,  65242737
112,  1.694164692,  180355332,  64891191
113,  1.721371010,  185560708,  67954433
114,  1.717411486,  184298683,  67293533
115,  1.722200737,  186096854,  67751301
116,  1.702298223,  183072211,  66624067
117,  1.717955280,  187067644,  67467358
118,  1.708331994,  184173908,  67417103
119,  1.719239839,  187696087,  67637408
120,  1.705969480,  185617629,  68912016
121,  1.705967385,  185649920,  68575687
122,  1.706747263,  184473882,  68230957
123,  1.722010652,  186281565,  68666520
124,  1.710254484,  183378470,  67654439
125,  1.721123349,  187203213,  68378762
126,  1.714895338,  184444683,  68129800
127,  1.715952979,  187760349,  68184398
128,  1.659774774,  180597720,  65645718
129,  1.696734391,  185154171,  67836013
130,  1.709448171,  184166302,  67446903
131,  1.711852098,  185955220,  67218982
132,  1.701120047,  183428947,  66855039
133,  1.714006638,  187082793,  67259846
134,  1.707744612,  184562072,  67519330
135,  1.717340893,  187807745,  67209720
136,  1.697080742,  182480528,  66338775
137,  1.704540400,  186636344,  68335060
138,  1.708851978,  185742375,  67998937
139,  1.706962522,  187497899,  68071600
140,  1.704099154,  185141213,  67350072
141,  1.704310361,  188754719,  67772196
142,  1.709232141,  186403175,  67861606
143,  1.712504683,  189813320,  67799074
144,  1.714998335,  187884417,  68773217
145,  1.716218209,  188021025,  68564011
146,  1.708891684,  187191733,  68410538
147,  1.719563682,  189010002,  68543945
148,  1.706485630,  186806330,  67754408
149,  1.703294824,  190442166,  68480821
150,  1.709781422,  187914329,  68477510
151,  1.715874908,  191059931,  68620171
152,  1.703908607,  189399037,  69477093
153,  1.717243635,  189737511,  69221239
154,  1.713876393,  190196148,  69044713
155,  1.716301260,  190755232,  69362957
156,  1.708980825,  188569455,  68524698
157,  1.714857980,  192352373,  69254523
158,  1.712253476,  191222120,  69313456
159,  1.713474415,  193196889,  69494728
160,  1.688314095,  187901760,  68269657
161,  1.716139992,  192465751,  70419347
162,  1.708106729,  191401389,  70273658
163,  1.714896524,  193990566,  70463490
164,  1.709385965,  191806281,  69749274
165,  1.711521108,  195811282,  70584595
166,  1.713711014,  193538063,  70310473
167,  1.715993610,  197302934,  70586674
168,  1.712912170,  195409824,  71113074
169,  1.716795924,  196610543,  70656034
170,  1.712385900,  196003461,  70525731
171,  1.705534209,  198033568,  70786684
172,  1.705480305,  196384528,  70055252
173,  1.702295073,  199662232,  70896259
174,  1.701167942,  198667674,  71101733
175,  1.714312375,  201289619,  71011032
176,  1.713287974,  199695104,  71599505
177,  1.715164639,  200264889,  71244919
178,  1.714696136,  199776389,  71228546
179,  1.716579756,  201426693,  71323829
180,  1.709510947,  200389653,  70890416
181,  1.713824119,  202655886,  71429113
182,  1.696204334,  201723103,  71268499
183,  1.713512048,  204022295,  71617810
184,  1.702241034,  200973925,  70274288
185,  1.714880098,  204108267,  72034315
186,  1.719274884,  206393696,  72117964
187,  1.714105031,  205631535,  72142658
188,  1.708973644,  203930429,  71445993
189,  1.710465203,  206920712,  72214336
190,  1.713546043,  205508707,  72046297
191,  1.713507846,  208385602,  72375013
192,  1.701973766,  204333254,  70961643
193,  1.714557069,  207976510,  72614581
194,  1.717719522,  211111524,  72631815
195,  1.714171445,  210548699,  72581006
196,  1.708438208,  209240751,  72006066
197,  1.711029020,  213088500,  72598541
198,  1.710801364,  211917781,  72525676
199,  1.712148156,  215809860,  72648456
200,  1.712729033,  214141557,  73215088
201,  1.687180463,  216263413,  72900602
202,  1.713270457,  215962683,  72866202
203,  1.712946382,  219037624,  72833963
204,  1.717582946,  221748662,  72869702
205,  1.714061253,  221963846,  72995150
206,  1.712330857,  220499480,  72774526
207,  1.715315896,  225487730,  73120852
208,  1.702709197,  220455188,  71993655
209,  1.714716769,  225220161,  73735630
210,  1.711903858,  224565382,  73432332
211,  1.716270028,  228492113,  73644657
212,  1.711643627,  226774563,  73032059
213,  1.716313779,  231615664,  73537464
214,  1.716950668,  229177619,  73572407
215,  1.719207027,  235096992,  73698673
216,  1.703843851,  229901354,  72382733
217,  1.716559781,  234312554,  73960866
218,  1.709770048,  233518603,  73605704
219,  1.717477761,  237252262,  73984235
220,  1.710986553,  235437362,  73387215
221,  1.707183815,  240096546,  73932862
222,  1.716076110,  238149453,  73832181
223,  1.714114485,  243306782,  73974646
224,  1.703839112,  237734182,  72491595
225,  1.714831699,  243392052,  73971844
226,  1.723591838,  248130596,  73795440
227,  1.720888673,  248606740,  73866336
228,  1.715443664,  247557197,  73324435
229,  1.718989763,  253815679,  73741354
230,  1.717293959,  251952143,  73652258
231,  1.721047865,  260025769,  73811406
232,  1.708805156,  255441997,  72366311
233,  1.708300162,  261345592,  73370554
234,  1.724645932,  266822535,  73654386
235,  1.724659799,  267444889,  73627101
236,  1.725354204,  271069683,  73179180
237,  1.726727674,  274251635,  73632911
238,  1.725462158,  272428835,  73446063
239,  1.728022396,  280317232,  73375068
240,  1.722407466,  278246834,  73880686
241,  1.723973641,  281897573,  73572148
