b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.360965393,  451830037,  42369534
2,  2.027045000,  288459430,  42372815
3,  1.787367488,  317664988,  42547805
4,  1.752835515,  268390512,  42378782
5,  1.709195637,  265310208,  42695758
6,  1.721416034,  244958350,  42523668
7,  1.694946612,  236792133,  42529287
8,  1.703604347,  235686071,  42527224
9,  1.638990464,  219559420,  42487344
10,  1.616171733,  210520167,  42424514
11,  1.625518908,  208216043,  42491762
12,  1.614146678,  197404430,  42407912
13,  1.608160718,  201204326,  42505423
14,  1.592993126,  196549973,  42535956
15,  1.589166605,  195908766,  42521455
16,  1.566713328,  195741579,  42437067
17,  1.635382137,  186123230,  42524723
18,  1.539708501,  187259332,  42470379
19,  1.635302280,  181924774,  42479478
20,  1.534206697,  182023369,  42461953
21,  1.660109458,  180435426,  42465410
22,  1.539035005,  183032648,  42500730
23,  1.674550110,  179142588,  42505565
24,  1.551036006,  184638820,  42508429
25,  1.632022170,  184402972,  48018543
26,  1.648110461,  175838044,  42539495
27,  1.627379508,  183198168,  47889202
28,  1.584527549,  172295297,  42576152
29,  1.624208482,  182936700,  47618633
30,  1.626091377,  175607388,  42663656
31,  1.649100579,  183404132,  47741113
32,  1.578534519,  166178927,  42571822
33,  1.620839248,  180202961,  47015692
34,  1.639443096,  176212653,  42888974
35,  1.624828386,  181692169,  47126037
36,  1.586873033,  174612146,  42957047
37,  1.626576982,  185123428,  47141574
38,  1.628510680,  178896413,  43224794
39,  1.637101177,  187944907,  47380822
40,  1.614710022,  188436674,  50076846
41,  1.626856852,  186991305,  49900443
42,  1.648044240,  184142821,  43771734
43,  1.643516134,  189789307,  50345363
44,  1.601292058,  182955339,  43993157
45,  1.652366766,  192803714,  50675555
46,  1.650099354,  186633301,  44838860
47,  1.614643922,  193542479,  51225310
48,  1.604288221,  190970646,  45793121
49,  1.648992287,  189028247,  53357897
50,  1.655780445,  186020239,  45708869
51,  1.662611517,  189763891,  53616727
52,  1.609841787,  182584414,  45577357
53,  1.668621415,  191385572,  53793850
54,  1.661064246,  184647400,  46640397
55,  1.671850881,  191538301,  53774018
56,  1.638529366,  178920190,  55996536
57,  1.670959939,  189249239,  59175836
58,  1.663154031,  183350427,  47421338
59,  1.683173568,  190052802,  59918925
60,  1.620117340,  180222558,  47460436
61,  1.689664365,  191324073,  60144374
62,  1.678596429,  182120898,  48634285
63,  1.692443586,  191720520,  60069406
64,  1.598068644,  175291252,  46380218
65,  1.685894445,  187781772,  61135194
66,  1.673633750,  185505684,  60334449
67,  1.691656473,  188474462,  61355613
68,  1.663655976,  183133614,  59158467
69,  1.690994041,  189456611,  61024353
70,  1.671975167,  184754203,  60191279
71,  1.694386083,  190082717,  61125597
72,  1.678230211,  186277009,  60706630
73,  1.683377596,  185416479,  60345164
74,  1.671085053,  183683821,  59681614
75,  1.688326897,  186128642,  60267200
76,  1.659661717,  181647450,  58499213
77,  1.692130472,  187339088,  60335589
78,  1.674903898,  183149159,  59921122
79,  1.696974637,  187885152,  60462574
80,  1.690771336,  185479415,  61938025
81,  1.694705575,  184685872,  61449563
82,  1.684115579,  183171800,  60904669
83,  1.699545503,  185400950,  61379755
84,  1.674947428,  181384709,  59774530
85,  1.703325007,  186636913,  61398737
86,  1.686668772,  182737369,  61069017
87,  1.703038315,  187057826,  61317749
88,  1.706342670,  185375508,  64034355
89,  1.706012801,  184811817,  63459261
90,  1.699498347,  183344111,  63033497
91,  1.712398642,  185487212,  63528052
92,  1.692025143,  181762421,  62040559
93,  1.717344320,  186588121,  63684750
94,  1.703685040,  182962344,  63204156
95,  1.721215716,  187007540,  63805972
96,  1.715725331,  185100386,  64997248
97,  1.717855325,  184432499,  64525157
98,  1.711525286,  183221493,  64098515
99,  1.721034352,  185137047,  64493053
100,  1.701117952,  181994293,  63195968
101,  1.719756864,  186240177,  64350311
102,  1.717869639,  183129636,  65125427
103,  1.719590586,  186497677,  64194114
104,  1.720434781,  185330905,  66223913
105,  1.720183334,  184408905,  65688944
106,  1.714630745,  183451767,  65268557
107,  1.722178227,  184971081,  65575609
108,  1.703259341,  182143050,  64339633
109,  1.718933417,  186018367,  65273238
110,  1.712309495,  183119942,  65280219
111,  1.718720071,  186385655,  65169382
112,  1.693365492,  180353940,  64822489
113,  1.723268880,  185547883,  67871643
114,  1.717516253,  184290390,  67239995
115,  1.723103021,  186107973,  67670308
116,  1.708913626,  183067592,  66539553
117,  1.721381224,  187077275,  67454562
118,  1.715167299,  184165289,  67385125
119,  1.723487383,  187706846,  67591197
120,  1.721199006,  185631378,  68874305
121,  1.721048923,  185662642,  68529140
122,  1.716491874,  184456261,  68227861
123,  1.722500430,  186258919,  68592774
124,  1.709752901,  183368121,  67618837
125,  1.721109824,  187206459,  68369757
126,  1.714928740,  184449618,  68091939
127,  1.722441958,  187763538,  68128137
128,  1.695248828,  180603989,  65634531
129,  1.716244176,  185149441,  67759980
130,  1.712183792,  184155532,  67403765
131,  1.715124316,  185952753,  67218098
132,  1.706495191,  183417334,  66800352
133,  1.716591005,  187089288,  67238790
134,  1.711765234,  184557540,  67510758
135,  1.718910347,  187829813,  67184875
136,  1.696852376,  182460052,  66304849
137,  1.718252803,  186655510,  68300893
138,  1.712771047,  185743285,  67974998
139,  1.718430780,  187509937,  68029886
140,  1.707979509,  185116231,  67325955
141,  1.716426631,  188764277,  67729978
142,  1.711831478,  186388021,  67832574
143,  1.717999052,  189854670,  67780444
144,  1.716797464,  187875170,  68783861
145,  1.717967322,  188022294,  68545101
146,  1.712978679,  187181531,  68380354
147,  1.718123521,  189332157,  68446297
148,  1.708890082,  186796993,  67684926
149,  1.715359416,  190458042,  68443867
150,  1.712768169,  187910054,  68424055
151,  1.716366275,  191050010,  68588310
152,  1.709667548,  189383575,  69453057
153,  1.718714519,  189744578,  69178417
154,  1.718484284,  190180036,  68967349
155,  1.717154967,  190743792,  69332565
156,  1.708711901,  188539090,  68500012
157,  1.716522131,  192349529,  69216508
158,  1.719451003,  191210146,  69251946
159,  1.716932400,  193205834,  69456269
160,  1.700115568,  187865022,  68206537
161,  1.719508816,  192150651,  70350160
162,  1.714262050,  191364598,  70254995
163,  1.718430603,  194009495,  70482202
164,  1.709265679,  191788190,  69715629
165,  1.717619423,  195828654,  70614577
166,  1.714142751,  193525379,  70267372
167,  1.717635397,  197297517,  70603271
168,  1.718513808,  195453020,  71097906
169,  1.718906555,  196617589,  70661511
170,  1.715095856,  196051709,  70504294
171,  1.717738617,  198349853,  70877286
172,  1.710985749,  196364647,  69986829
173,  1.715903869,  199690386,  70910075
174,  1.714890246,  198249085,  70585388
175,  1.717715303,  201292224,  71038523
176,  1.716410484,  199710297,  71568495
177,  1.716482539,  200276153,  71264132
178,  1.715454794,  199768921,  71195517
179,  1.716289627,  201389719,  71341647
180,  1.709681608,  200429500,  70876478
181,  1.715024610,  202681842,  71479068
182,  1.712034833,  201691686,  71254175
183,  1.714644326,  204053114,  71609812
184,  1.703648493,  200959587,  70248153
185,  1.715696049,  204079906,  72048544
186,  1.721306458,  206398682,  72109922
187,  1.715788607,  205587774,  72151215
188,  1.710361935,  203910070,  71428870
189,  1.714275010,  207000212,  72259389
190,  1.712884966,  205488823,  72027093
191,  1.714185150,  208395567,  72408600
192,  1.703020171,  204324265,  70930747
193,  1.716424411,  207948369,  72619607
194,  1.721364360,  211159119,  72617968
195,  1.713349208,  210550221,  72582625
196,  1.709897629,  209244201,  71983141
197,  1.713281899,  213060106,  72646509
198,  1.713205886,  211918034,  72550757
199,  1.714467412,  215766253,  72671159
200,  1.714588612,  214133646,  73211780
201,  1.713655813,  216274561,  72904957
202,  1.712727429,  215981260,  72881623
203,  1.715062580,  219010245,  72841334
204,  1.718341378,  221766893,  72886019
205,  1.715327551,  221908520,  73021962
206,  1.713309149,  220439424,  72790092
207,  1.717540699,  225506140,  73133540
208,  1.704595003,  220447975,  71979920
209,  1.716400517,  225199368,  73737260
210,  1.715944543,  224676557,  73342943
211,  1.717582050,  228499922,  73633826
212,  1.712739247,  226786287,  73034827
213,  1.717255444,  231613688,  73560969
214,  1.715578978,  229151353,  73584308
215,  1.718659267,  235036011,  73710879
216,  1.707047963,  229826281,  72375650
217,  1.718039793,  234273191,  73974534
218,  1.715626791,  233527010,  73580534
219,  1.718216434,  237218484,  74014453
220,  1.714384758,  235411684,  73355968
221,  1.718648550,  240124054,  73944582
222,  1.716893595,  238097085,  73885777
223,  1.719153750,  243236115,  73978014
224,  1.706437316,  237671529,  72524658
225,  1.718957452,  243351791,  73983336
226,  1.723570512,  247998364,  73793637
227,  1.719667656,  248597841,  73865763
228,  1.715341560,  247511040,  73331457
229,  1.720479181,  253788174,  73741590
230,  1.719486647,  251932689,  73657468
231,  1.723640548,  260047017,  73806224
232,  1.711070315,  255359848,  72355662
233,  1.720634181,  261343816,  73342410
234,  1.727633882,  266768747,  73654232
235,  1.724713446,  267417575,  73648818
236,  1.724700151,  271080511,  73135886
237,  1.726329101,  274204524,  73626754
238,  1.727363426,  272381729,  73434469
239,  1.728703979,  280236406,  73391286
240,  1.728711865,  278142859,  73869383
241,  1.731677495,  281892570,  73557643
242,  1.728625206,  283596191,  73277753
243,  1.732113076,  288747596,  73522476
244,  1.728716894,  288607666,  72949191
245,  1.734001301,  294124529,  73194304
