b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.360269224,  451728494,  42369232
2,  2.026231994,  288373056,  42381820
3,  1.786529377,  317610371,  42548956
4,  1.752448625,  268316497,  42379268
5,  1.709767648,  265237682,  42700669
6,  1.721165633,  244870404,  42522043
7,  1.694940053,  236701292,  42535200
8,  1.703862515,  235574358,  42530418
9,  1.636967312,  219479634,  42485784
10,  1.615093110,  210433030,  42425163
11,  1.627076453,  208129498,  42488886
12,  1.612823626,  197298649,  42403040
13,  1.608349696,  201118120,  42503946
14,  1.593875365,  196457944,  42534446
15,  1.587997042,  195842614,  42523010
16,  1.564947099,  195651139,  42434763
17,  1.634871645,  186031915,  42529822
18,  1.539907610,  187174925,  42472699
19,  1.633611981,  181853675,  42476494
20,  1.534123148,  181954039,  42459494
21,  1.659297350,  180353140,  42462974
22,  1.539712092,  182947629,  42493270
23,  1.673183222,  179047827,  42500611
24,  1.550379023,  184550341,  42510869
25,  1.633149950,  184355386,  48018599
26,  1.638082230,  175726722,  42535710
27,  1.626165921,  183106701,  47884702
28,  1.584030728,  172209842,  42582290
29,  1.624031281,  182860180,  47604086
30,  1.626322823,  175529696,  42676759
31,  1.649247946,  183302564,  47756410
32,  1.578666712,  166089515,  42584111
33,  1.621680063,  180153736,  47032207
34,  1.639051496,  176152469,  42913970
35,  1.626349839,  181609199,  47147283
36,  1.586985487,  174524365,  42987788
37,  1.626783517,  185051049,  47151657
38,  1.629425504,  178826565,  43249057
39,  1.637128240,  187841202,  47405782
40,  1.614144577,  188377409,  50104920
41,  1.626540338,  186906657,  49912398
42,  1.648261652,  184062851,  43797621
43,  1.643368308,  189707537,  50344184
44,  1.600434399,  182908500,  43995279
45,  1.651705918,  192725145,  50708520
46,  1.650048126,  186556348,  44873652
47,  1.660533180,  193465119,  51248668
48,  1.602866397,  190887601,  45825805
49,  1.645789350,  188951722,  53357953
50,  1.655505229,  185936959,  45747633
51,  1.661416292,  189683867,  53630595
52,  1.608912906,  182493345,  45574825
53,  1.668201161,  191309611,  53802179
54,  1.660777880,  184554454,  46640594
55,  1.672252300,  191430588,  53792279
56,  1.637378135,  178840480,  55982784
57,  1.671496028,  189186744,  59205339
58,  1.663789974,  183257619,  47440319
59,  1.681290194,  189954783,  59887876
60,  1.619727028,  180150764,  47460423
61,  1.689815133,  191251810,  60111061
62,  1.677576125,  182043020,  48601288
63,  1.692924499,  191629907,  60037460
64,  1.597054732,  175225263,  46377398
65,  1.684085991,  187707601,  61127752
66,  1.675318020,  185430160,  60365283
67,  1.689759914,  188388425,  61337848
68,  1.663239806,  183053813,  59189764
69,  1.690223491,  189376032,  60992087
70,  1.671289398,  184688332,  60217364
71,  1.692726753,  189999818,  61106518
72,  1.677514145,  186197912,  60699981
73,  1.681943050,  185316991,  60293974
74,  1.670096215,  183591420,  59689275
75,  1.687550876,  186039130,  60238926
76,  1.660490769,  181571968,  58522335
77,  1.691333322,  187239996,  60307317
78,  1.674089147,  183039603,  59911851
79,  1.696247908,  187825429,  60433501
80,  1.691935996,  185402752,  61949640
81,  1.693322840,  184607189,  61402806
82,  1.686343793,  183085240,  60908359
83,  1.699586605,  185327388,  61354176
84,  1.674712672,  181299198,  59760619
85,  1.702387861,  186558416,  61378882
86,  1.686854444,  182630643,  61039476
87,  1.702966226,  186978545,  61291783
88,  1.705262221,  185295322,  64015893
89,  1.706038197,  184724102,  63445177
90,  1.699112502,  183268594,  63023228
91,  1.712935008,  185416439,  63486984
92,  1.691129232,  181672907,  62024868
93,  1.715753213,  186519364,  63672658
94,  1.702680073,  182884835,  63174908
95,  1.719786555,  186927544,  63812731
96,  1.715893068,  185009870,  65008943
97,  1.717632142,  184366933,  64504655
98,  1.710591331,  183125827,  64112750
99,  1.721481664,  185064400,  64501554
100,  1.701334411,  181917079,  63187591
101,  1.719309692,  186156081,  64337458
102,  1.717853065,  183039643,  65131945
103,  1.718359220,  186412674,  64195121
104,  1.719905240,  185259988,  66256914
105,  1.720190535,  184333419,  65705165
106,  1.712480491,  183352441,  65252670
107,  1.723700850,  184924265,  65597944
108,  1.704407620,  182059601,  64336938
109,  1.719299016,  185925017,  65275732
110,  1.712412190,  183044893,  65280211
111,  1.717764437,  186321431,  65209398
112,  1.695022830,  180280233,  64800694
113,  1.722184869,  185487819,  67912694
114,  1.717245025,  184225342,  67267536
115,  1.721280048,  186009969,  67689141
116,  1.707934121,  182986780,  66543539
117,  1.721642637,  187004264,  67463678
118,  1.714490804,  184107815,  67414433
119,  1.722892900,  187849031,  67715640
120,  1.722230198,  185573813,  68902337
121,  1.720749379,  185568554,  68553216
122,  1.715967083,  184371141,  68220183
123,  1.722504020,  186187875,  68643393
124,  1.708665663,  183275984,  67721483
125,  1.722145196,  187140114,  68366998
126,  1.714972287,  184369360,  68120741
127,  1.724425521,  187661592,  68170555
128,  1.696027821,  180552227,  65635006
129,  1.717145586,  185074932,  67806667
130,  1.711890568,  184077129,  67442271
131,  1.715046631,  185857325,  67260835
132,  1.706335792,  183323235,  66827239
133,  1.717268305,  187016457,  67296363
134,  1.711397979,  184467097,  67526717
135,  1.716547120,  187727916,  67197057
136,  1.696409288,  182404706,  66341771
137,  1.718725119,  186564183,  68335230
138,  1.714384653,  185686666,  67991931
139,  1.719137978,  187447009,  68065323
140,  1.707141110,  185046720,  67325842
141,  1.718665382,  188696083,  67784437
142,  1.712057661,  186320708,  67825316
143,  1.717521029,  189743656,  67815392
144,  1.715767926,  187817805,  68781638
145,  1.716536739,  187923827,  68608565
146,  1.713385017,  187133171,  68393194
147,  1.725693860,  189216928,  68479552
148,  1.707667056,  186719227,  67709012
149,  1.716371819,  190369467,  68491890
150,  1.712530991,  187836005,  68453491
151,  1.717453854,  190951688,  68627063
152,  1.716711790,  189289032,  69447344
153,  1.716714280,  189649680,  69228755
154,  1.720869015,  190118903,  69010322
155,  1.716741654,  190655900,  69361357
156,  1.707660715,  188496338,  68503173
157,  1.716617605,  192291063,  69247699
158,  1.719520164,  191130871,  69273460
159,  1.716866051,  193098485,  69503620
160,  1.700686577,  187785134,  68220680
161,  1.718689882,  192341869,  70404271
162,  1.715538407,  191295532,  70216906
163,  1.718078635,  193917640,  70464409
164,  1.709943109,  191706126,  69696416
165,  1.715808080,  195732857,  70615301
166,  1.712990963,  193460427,  70294674
167,  1.717648979,  197230542,  70573641
168,  1.717280325,  195352922,  71095989
169,  1.717175933,  196533993,  70668226
170,  1.716388052,  195970507,  70515843
171,  1.717273611,  197965664,  70773076
172,  1.710150932,  196285957,  70013991
173,  1.716393770,  199575976,  70884991
174,  1.715290201,  198556358,  71064009
175,  1.717198519,  201233057,  71020004
176,  1.716218298,  199633912,  71617683
177,  1.716764028,  200148329,  71242435
178,  1.715689844,  199686994,  71214846
179,  1.716042211,  201328878,  71306839
180,  1.710544776,  200338024,  70885836
181,  1.714066260,  202576519,  71435911
182,  1.712645789,  201602080,  71293841
183,  1.719339941,  203932709,  71677593
184,  1.705140488,  200893704,  70279518
185,  1.715836554,  203999909,  72018117
186,  1.720254103,  206326873,  72117514
187,  1.715563282,  205549221,  72153575
188,  1.710719185,  203844511,  71445915
189,  1.714553577,  206854904,  72206552
190,  1.713607509,  205402983,  72032016
191,  1.715514642,  208322189,  72383000
192,  1.703290356,  204285697,  70951532
193,  1.716285948,  207878783,  72605680
194,  1.719403916,  211043613,  72607961
195,  1.714191417,  210476231,  72576608
196,  1.710129564,  209161456,  71990367
197,  1.713055843,  212983314,  72618228
198,  1.712011621,  211802748,  72519484
199,  1.713816167,  215688382,  72634134
200,  1.713709207,  214060294,  73210719
201,  1.715649693,  216189231,  72897121
202,  1.713070785,  215835063,  72849256
203,  1.712602702,  218958393,  72839158
204,  1.717335591,  221707352,  72876068
205,  1.714704823,  221840107,  73019038
206,  1.712703029,  220401065,  72774077
207,  1.716425306,  225404239,  73129995
208,  1.704505745,  220332118,  71988125
209,  1.718209620,  225131961,  73763531
210,  1.715116276,  224541305,  73343058
211,  1.717250832,  228377821,  73613597
212,  1.712622038,  226683952,  73019567
213,  1.715159940,  231491495,  73520271
214,  1.714658722,  229077591,  73550798
215,  1.718324557,  234924129,  73698798
216,  1.706152271,  229731999,  72368108
217,  1.719956243,  234093502,  74051258
218,  1.715024067,  233427004,  73588201
219,  1.717936453,  237166194,  73987857
220,  1.715349164,  235348064,  73373098
221,  1.718843518,  240026364,  73922016
222,  1.717577633,  237995341,  73854594
223,  1.724894060,  243184566,  73954715
224,  1.706583514,  237636012,  72511522
225,  1.719193147,  243243843,  73982045
226,  1.723815585,  247910048,  73764208
227,  1.720299041,  248521904,  73862492
228,  1.716342213,  247418180,  73360035
229,  1.721057862,  253687635,  73776065
230,  1.719784182,  251872037,  73674985
231,  1.722089394,  259937783,  73792329
232,  1.711555859,  255290427,  72378811
233,  1.720069744,  261247932,  73341317
234,  1.727627859,  266692237,  73657388
235,  1.724547427,  267293743,  73599321
236,  1.725968939,  271006809,  73155496
237,  1.726464285,  274113996,  73626219
238,  1.725178438,  272273394,  73441333
239,  1.728019412,  280182197,  73358914
240,  1.728224894,  278121202,  73872923
241,  1.730437907,  281749534,  73532792
242,  1.728610071,  283521784,  73275288
243,  1.732563556,  288660145,  73512230
244,  1.726392878,  288359880,  73014988
245,  1.732225749,  294017745,  73178000
246,  1.733384665,  294566058,  73258225
247,  1.735028409,  300249407,  73171814
248,  1.724897185,  297120631,  72107614
249,  1.735277939,  303036258,  73205612
250,  1.733676863,  304451011,  73123549
251,  1.739377708,  308582132,  73193882
252,  1.734140247,  308856655,  72594868
253,  1.739185507,  315064292,  73119122
254,  1.741069173,  315229755,  73054068
255,  1.743513909,  320332096,  72834721
256,  1.731668115,  317127068,  71871591
257,  1.745244191,  325300979,  73186148
258,  1.745093837,  327383539,  72919464
259,  1.751174570,  334136104,  72795245
