b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.356830321,  451765598,  42360099
2,  2.023029663,  288407631,  42369749
3,  1.782538863,  317699254,  42536762
4,  1.748025157,  268411509,  42367505
5,  1.704588729,  265265136,  42690319
6,  1.715231374,  244922143,  42514468
7,  1.688333978,  236741206,  42524885
8,  1.697069448,  235592870,  42521882
9,  1.631718706,  219509049,  42476794
10,  1.611429954,  210460887,  42412524
11,  1.621166196,  208150535,  42481715
12,  1.606870318,  197341882,  42399357
13,  1.598830448,  201136864,  42500261
14,  1.587447300,  196465184,  42528291
15,  1.583535618,  195861199,  42520384
16,  1.560626170,  195679097,  42429897
17,  1.628869676,  186067009,  42514612
18,  1.522545419,  187210996,  42471026
19,  1.624685191,  181882832,  42474006
20,  1.529419889,  181988202,  42456633
21,  1.650442269,  180380376,  42456568
22,  1.516506738,  182974065,  42496384
23,  1.658620333,  179093620,  42502009
24,  1.537200788,  184591266,  42516318
25,  1.625278875,  184360232,  48016641
26,  1.596957771,  175774548,  42541565
27,  1.587359647,  183163289,  47885861
28,  1.573802950,  172231894,  42583844
29,  1.617554043,  182929263,  47611014
30,  1.614103573,  175555522,  42672689
31,  1.633548009,  183254662,  47736244
32,  1.568423308,  166091302,  42568300
33,  1.614526811,  180189621,  47003104
34,  1.634343331,  176181165,  42909268
35,  1.627487210,  181633708,  47111089
36,  1.578526626,  174547235,  42978142
37,  1.616954069,  185114830,  47130167
38,  1.622737648,  178834672,  43237591
39,  1.628351804,  187833482,  47357235
40,  1.605715843,  188419862,  50088423
41,  1.618035532,  186970400,  49883810
42,  1.637895583,  184070716,  43782559
43,  1.637073328,  189735796,  50351718
44,  1.595569963,  182895882,  44006001
45,  1.643687256,  192723029,  50685393
46,  1.641602984,  186562460,  44834792
47,  1.650309250,  193474405,  51232063
48,  1.597938605,  190927532,  45814998
49,  1.641900924,  188990491,  53333608
50,  1.648760981,  185960174,  45709939
51,  1.656480607,  189725108,  53616405
52,  1.601768063,  182506136,  45582879
53,  1.654871506,  191311785,  53785324
54,  1.656968457,  184595077,  46632132
55,  1.666088374,  191461682,  53760168
56,  1.632434358,  178901000,  55989785
57,  1.661605813,  189222258,  59199558
58,  1.657420195,  183302712,  47413712
59,  1.674929700,  189997351,  59843551
60,  1.614167171,  180181565,  47451602
61,  1.682372973,  191280895,  60087615
62,  1.671665184,  182114292,  48627305
63,  1.686931640,  191665644,  60014262
64,  1.591839897,  175234939,  46387510
65,  1.676095230,  187750618,  61099235
66,  1.666262234,  185465737,  60420975
67,  1.688787289,  188448172,  61385038
68,  1.660655240,  183104683,  59248403
69,  1.686290112,  189415214,  60995359
70,  1.669190981,  184752245,  60226696
71,  1.687215890,  190037611,  61105967
72,  1.673190920,  186231493,  60743569
73,  1.672625724,  185363262,  60347363
74,  1.661551999,  183637799,  59679363
75,  1.677556334,  186092888,  60178521
76,  1.648871937,  181605660,  58485045
77,  1.665805202,  187259016,  60270048
78,  1.649924858,  183103267,  59878129
79,  1.666266201,  187835917,  60404039
80,  1.671496347,  185419233,  61927486
81,  1.680407977,  184641893,  61370214
82,  1.676861942,  183116114,  60876116
83,  1.694286623,  185376651,  61347708
84,  1.664061993,  181336658,  59765327
85,  1.694286388,  186589249,  61360035
86,  1.680424885,  182697321,  61043139
87,  1.697298700,  187013495,  61304262
88,  1.695276457,  185310380,  63989886
89,  1.698442856,  184766034,  63403698
90,  1.693424614,  183292231,  63006345
91,  1.705398417,  185450458,  63436390
92,  1.684168915,  181708461,  62000534
93,  1.709108917,  186545926,  63642748
94,  1.696479631,  182908721,  63172283
95,  1.713351022,  186955941,  63788410
96,  1.708308906,  185043021,  64963905
97,  1.709293182,  184417730,  64487361
98,  1.704138527,  183170893,  64063507
99,  1.715274471,  185092155,  64448460
100,  1.694035356,  181942399,  63168402
101,  1.712088993,  186197148,  64290866
102,  1.712698688,  183077817,  65075420
103,  1.711287041,  186450938,  64156857
104,  1.711339897,  185277981,  66156285
105,  1.713412813,  184351060,  65655946
106,  1.705615316,  183381178,  65238061
107,  1.714650608,  184939030,  65574756
108,  1.695297700,  182098448,  64270687
109,  1.709007588,  185964511,  65195474
110,  1.706550831,  183077008,  65228545
111,  1.710169750,  186350669,  65091822
112,  1.692182646,  180316606,  64709075
113,  1.716478445,  185513589,  67873130
114,  1.708928191,  184240597,  67198552
115,  1.714781665,  186058533,  67681459
116,  1.700203022,  183029048,  66506877
117,  1.715205547,  187033126,  67460163
118,  1.709320296,  184143020,  67375686
119,  1.716547822,  187876136,  67674523
120,  1.715992720,  185588102,  68853154
121,  1.715002794,  185607384,  68530222
122,  1.708074400,  184390075,  68166434
123,  1.715878811,  186230072,  68600843
124,  1.702026414,  183313828,  67572789
125,  1.711702509,  187180370,  68332680
126,  1.704431197,  184408627,  68046972
127,  1.715235452,  187700443,  68118288
128,  1.682991897,  180577931,  65568012
129,  1.701955097,  185119026,  67786298
130,  1.701900036,  184077358,  67480073
131,  1.708699212,  185918805,  67222460
132,  1.692731074,  183360536,  66812599
133,  1.706033899,  187052842,  67248561
134,  1.686258431,  184488007,  67509092
135,  1.706032649,  187775771,  67192979
136,  1.689357004,  182441414,  66340160
137,  1.709175363,  186572680,  68292433
138,  1.702527568,  185688501,  67966190
139,  1.711663146,  187493110,  68060434
140,  1.701581070,  185055714,  67313049
141,  1.709461189,  188714794,  67758356
142,  1.706339443,  186346767,  67819987
143,  1.709443391,  189773645,  67804898
144,  1.709138837,  187856898,  68774646
145,  1.706413294,  187936018,  68545507
146,  1.704572600,  187118490,  68346457
147,  1.709986765,  188979418,  68431381
148,  1.701576534,  186734626,  67737455
149,  1.710532976,  190410113,  68442934
150,  1.705977276,  187867447,  68442544
151,  1.709426602,  190958307,  68568727
152,  1.710895302,  189337709,  69424689
153,  1.709500037,  189680825,  69174973
154,  1.711390291,  190142158,  68976390
155,  1.708856711,  190710659,  69324642
156,  1.699436522,  188512947,  68520563
157,  1.708809680,  192432807,  69186272
158,  1.711799183,  191176702,  69287763
159,  1.709851531,  193133162,  69458368
160,  1.694509482,  187866057,  68237243
161,  1.712348946,  192101101,  70312826
162,  1.706434410,  191318956,  70190517
163,  1.709102603,  193950778,  70419828
164,  1.703264457,  191730716,  69682329
165,  1.709649967,  195768479,  70581780
166,  1.704827532,  193458552,  70251435
167,  1.708411129,  197240184,  70536968
168,  1.710495113,  196109494,  71160215
169,  1.710589938,  196543588,  70628550
170,  1.708761901,  195972960,  70492381
171,  1.710640455,  197964439,  70749559
172,  1.703478014,  196303762,  69970512
173,  1.709019105,  199623894,  70898376
174,  1.707174400,  198195819,  70584424
175,  1.708850074,  201261912,  70995565
176,  1.708477075,  199643370,  71531839
177,  1.709552722,  200176639,  71221262
178,  1.708571263,  199688556,  71166612
179,  1.708847057,  201336823,  71299101
180,  1.700958603,  200351329,  70837263
181,  1.709477393,  202612496,  71416476
182,  1.706385255,  201641432,  71205435
183,  1.707694255,  203964354,  71572530
184,  1.696832173,  200925155,  70239499
185,  1.707911932,  203999579,  71992166
186,  1.713342266,  206365222,  72066231
187,  1.707230074,  205557495,  72108037
188,  1.698339857,  203856946,  71393623
189,  1.707039988,  206867618,  72179547
190,  1.707178878,  205474593,  72016120
191,  1.706919445,  208318853,  72343965
192,  1.698269375,  204317513,  70942744
193,  1.707783772,  207870773,  72569559
194,  1.711327201,  211026775,  72596461
195,  1.708390746,  210483105,  72565291
196,  1.701808784,  209185065,  71970862
197,  1.705473746,  213023604,  72605629
198,  1.705559525,  211869576,  72503333
199,  1.706700029,  215726400,  72633925
200,  1.709983810,  214105698,  73212971
201,  1.708925773,  216219965,  72864272
202,  1.707027388,  215912700,  72860633
203,  1.709879765,  218973503,  72837332
204,  1.708780518,  221698466,  72849936
205,  1.708014768,  221889787,  72992947
206,  1.706243242,  220396932,  72749558
207,  1.708634247,  225420890,  73103759
208,  1.698186071,  220378025,  71982372
209,  1.709801060,  225111513,  73717949
210,  1.709181408,  224622884,  73339545
211,  1.712987372,  228463938,  73620625
212,  1.705757787,  226695486,  73014374
213,  1.709838755,  231530745,  73537957
214,  1.708067581,  229096182,  73520033
215,  1.710662037,  234985916,  73694819
216,  1.700127267,  229787156,  72352944
217,  1.708402082,  234183062,  73936175
218,  1.705991257,  233458234,  73553373
219,  1.708307089,  237196824,  73998843
220,  1.707319963,  235330660,  73351315
221,  1.713308767,  240027814,  73913645
222,  1.712244979,  238103367,  73874399
223,  1.713248125,  243196756,  73931444
224,  1.700717488,  237627143,  72504202
225,  1.712243646,  243314245,  73975886
226,  1.715555384,  248006973,  73790870
227,  1.714336154,  248521972,  73853322
228,  1.706236517,  247429074,  73315083
