b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.365753615,  451695607,  42353905
2,  2.023567347,  288327610,  42351435
3,  1.775820385,  317559929,  42528138
4,  1.746605171,  268302778,  42354489
5,  1.704262797,  265199230,  42673809
6,  1.716095166,  244833539,  42499336
7,  1.684598264,  236661809,  42510999
8,  1.700814828,  235528840,  42508583
9,  1.632522037,  219442272,  42464718
10,  1.582825902,  210377415,  42406354
11,  1.603137760,  208073529,  42470145
12,  1.600237544,  197261950,  42383432
13,  1.591909972,  201066703,  42488445
14,  1.568339639,  196398822,  42517626
15,  1.566433782,  195777091,  42508743
16,  1.550853387,  195596510,  42418836
17,  1.622718407,  185982434,  42508965
18,  1.513001104,  187152635,  42455709
19,  1.617261335,  181803204,  42461743
20,  1.521456188,  181906327,  42443694
21,  1.648828733,  180305773,  42447886
22,  1.518807427,  182904390,  42482245
23,  1.661041690,  179019244,  42487397
24,  1.533943025,  184523127,  42490482
25,  1.625913587,  184292513,  47992918
26,  1.633298099,  175713687,  42516354
27,  1.608072461,  183075825,  47868141
28,  1.564596820,  172156130,  42558266
29,  1.613305537,  182808420,  47578876
30,  1.617188786,  175499951,  42656350
31,  1.632420985,  183259612,  47732357
32,  1.570623133,  166048490,  42555920
33,  1.608142370,  180122379,  47003106
34,  1.632491795,  176114233,  42889177
35,  1.618572605,  181619061,  47102816
36,  1.569180943,  174484305,  42955338
37,  1.618433494,  185039979,  47124227
38,  1.619854498,  178770049,  43220469
39,  1.626998845,  187788138,  47366260
40,  1.605870656,  188308084,  50082586
41,  1.606635097,  186860551,  49886571
42,  1.637603208,  184006848,  43762977
43,  1.637396312,  189662105,  50323445
44,  1.596046598,  182818427,  43939677
45,  1.631480504,  192643579,  50640285
46,  1.641552832,  186489879,  44816527
47,  1.644172145,  193401593,  51174033
48,  1.597371837,  190848958,  45790475
49,  1.635625467,  188924222,  53307114
50,  1.647271287,  185888004,  45696655
51,  1.648565058,  189661564,  53582813
52,  1.603699305,  182440851,  45532157
53,  1.662802971,  191249424,  53739873
54,  1.658278954,  184527302,  46598626
