b,  time,  L1-dcache-load-misses
1,  0.583065166,  332822093
2,  0.652137577,  198987805
3,  0.543306381,  225522632
4,  0.468835448,  188437525
5,  0.480458189,  180902925
6,  0.483111424,  159271170
7,  0.470067178,  156769486
8,  0.460396497,  115688083
9,  0.493415605,  151061155
10,  0.463451808,  147638383
11,  0.468162168,  148658179
12,  0.474375600,  136961912
13,  0.477640144,  146739996
14,  0.461199185,  143517915
15,  0.476134270,  145823617
16,  0.446650611,  124456705
17,  0.464307435,  150103471
18,  0.487015150,  153659317
19,  0.489629937,  158474472
20,  0.488968073,  161946754
21,  0.526239032,  183128980
22,  0.515025900,  197709415
23,  0.539410188,  216323188
24,  0.550534943,  218979288
25,  0.540360337,  232110567
26,  0.553897587,  244837752
27,  0.557781191,  256212093
28,  0.540470314,  263664816
29,  0.584395471,  279284227
30,  0.586918589,  286850130
31,  0.589365288,  297162236
32,  0.573666741,  297522363
33,  0.598888362,  318430495
34,  0.624632095,  342378786
35,  0.653061463,  358173191
36,  0.647918611,  357714448
37,  0.631704044,  363078984
38,  0.640348196,  369147309
39,  0.678286194,  373901133
40,  0.662898565,  379234768
41,  0.645508524,  381951596
42,  0.665602251,  386283714
43,  0.670071631,  389225210
44,  0.701259538,  393292171
45,  0.676776125,  394732720
46,  0.667122397,  390399595
47,  0.695323521,  390120159
48,  0.672660112,  390170914
49,  0.701448509,  393452887
50,  0.679290042,  389519357
51,  0.697366494,  392515290
52,  0.695782105,  390436066
53,  0.685030315,  390062851
54,  0.696615636,  390995190
55,  0.706440868,  392593257
56,  0.688213015,  388527721
57,  0.734397131,  397352371
58,  0.707218243,  391327512
59,  0.740150677,  391989258
60,  0.706322984,  387707164
61,  0.730978592,  391365414
62,  0.720456213,  388729773
63,  0.761897025,  394571973
64,  0.710286621,  386753838
65,  0.720427854,  386590514
66,  0.744291595,  388390747
67,  0.717856162,  389305219
68,  0.724277713,  390137867
69,  0.750791720,  392801843
70,  0.753321696,  396486006
71,  0.737796658,  394231272
72,  0.724042378,  388095527
73,  0.751080767,  393671860
74,  0.729983290,  392359260
75,  0.723780522,  391045470
76,  0.724399391,  389450810
77,  0.719956390,  387870509
78,  0.742402379,  390387864
79,  0.709460607,  389502855
80,  0.717532713,  387322670
81,  0.713226363,  388652079
82,  0.692565753,  386113192
83,  0.708249710,  387482548
84,  0.708753732,  388230497
85,  0.705896950,  389208735
86,  0.687208006,  387586131
87,  0.704325986,  392486555
88,  0.692744597,  386222993
89,  0.703903267,  388608201
90,  0.673281689,  384326785
91,  0.680499261,  388806147
92,  0.678516446,  385097686
93,  0.668610112,  384670316
94,  0.666432211,  383584129
95,  0.672056730,  386107554
96,  0.698283412,  391408830
97,  0.685331740,  391633288
98,  0.667520651,  385216419
99,  0.682589797,  388763306
100,  0.653617543,  384596493
101,  0.667439892,  388220067
102,  0.648396345,  383974602
103,  0.644097057,  383676969
104,  0.652268230,  383373484
105,  0.642116106,  383356061
106,  0.676857725,  390750527
107,  0.655804855,  384687803
108,  0.652894923,  387437992
109,  0.655317384,  389385868
110,  0.641685399,  384229693
111,  0.629746226,  380264578
112,  0.628948327,  381636382
113,  0.620710231,  381583783
114,  0.628211971,  381372272
115,  0.617120989,  380802839
116,  0.627688623,  380609456
117,  0.617303120,  379676488
118,  0.609409667,  379202000
119,  0.620973536,  380167404
120,  0.621514977,  380056063
121,  0.607463349,  379294073
122,  0.628464123,  381039239
123,  0.605787333,  379981696
124,  0.612291016,  380458038
125,  0.613237641,  380507203
126,  0.614321177,  378196018
127,  0.611188448,  380109577
128,  0.603153047,  380235224
129,  0.649391823,  388271494
130,  0.623520283,  387180800
131,  0.614732403,  381064028
132,  0.610025381,  380651006
133,  0.619799669,  380005321
134,  0.609842244,  380673888
135,  0.635226646,  381549595
136,  0.607061792,  380713114
137,  0.604858820,  380824106
138,  0.614303238,  383368141
139,  0.632837001,  380710072
140,  0.597887713,  378611832
141,  0.633120319,  381763620
142,  0.611156792,  379922454
143,  0.604747073,  379079751
144,  0.605752015,  378998946
145,  0.607884698,  378973717
146,  0.615040827,  378650032
147,  0.598234690,  378144141
148,  0.609992033,  379381148
149,  0.615061275,  382081694
150,  0.628328607,  381280388
151,  0.619200487,  380828560
152,  0.613109119,  378874859
153,  0.599615535,  378972484
154,  0.603912788,  379916990
155,  0.607630387,  380720375
156,  0.605325824,  380530558
157,  0.628228381,  381921984
158,  0.620838642,  381384235
159,  0.617386474,  380845308
160,  0.609667530,  380645400
161,  0.612697779,  381246134
162,  0.611921235,  381450457
163,  0.614873029,  381560910
164,  0.627746231,  381500646
165,  0.642440391,  379823959
166,  0.652303057,  381298920
167,  0.641054383,  380317138
168,  0.645052843,  381781919
169,  0.655524707,  382284339
170,  0.658446959,  382233788
171,  0.666693906,  381352637
172,  0.667539003,  382515223
173,  0.676329587,  383687800
174,  0.673820767,  382475908
175,  0.686741893,  382924451
176,  0.721270893,  383921126
177,  0.688845210,  381216356
178,  0.685257479,  380866005
179,  0.711267971,  382127646
180,  0.708873699,  383710679
181,  0.715574697,  382802154
182,  0.710128831,  382848902
183,  0.725528535,  384112127
184,  0.717345698,  381249347
185,  0.723303980,  381664682
186,  0.752993145,  385065865
187,  0.801466636,  389544383
188,  0.753650712,  384656191
189,  0.777507991,  384386833
190,  0.757459460,  384671380
191,  0.793099579,  389439256
192,  0.753317217,  383326582
193,  0.753558771,  382242288
194,  0.787618040,  387559106
195,  0.762554414,  382296118
196,  0.748289754,  380067490
197,  0.792001928,  383860964
198,  0.768294605,  381178174
199,  0.803346026,  384005846
200,  0.785005669,  382967921
201,  0.811204407,  384676849
202,  0.773690200,  383488764
203,  0.780067018,  380281586
204,  0.791773793,  383328082
205,  0.783366615,  382636392
206,  0.783195974,  384144848
207,  0.777881952,  379334025
208,  0.782867078,  378661136
209,  0.774493420,  380245367
210,  0.807369704,  379272183
211,  0.799960088,  378824103
212,  0.787773748,  381074220
213,  0.796924392,  381029036
214,  0.787372356,  380918506
215,  0.795281673,  382239289
216,  0.797774092,  381228875
217,  0.796324427,  382337317
218,  0.804490368,  377946819
219,  0.804891576,  379325392
220,  0.797145206,  378662825
221,  0.802018506,  379254827
222,  0.800774636,  377160082
223,  0.794616260,  376184361
224,  0.792323328,  375123521
225,  0.806052271,  376763968
226,  0.798378052,  377828047
227,  0.804694665,  378686778
228,  0.816010890,  376570194
229,  0.807175999,  375713027
230,  0.802790526,  375461856
231,  0.812340070,  375694688
232,  0.810347450,  376054769
233,  0.806200180,  375292034
234,  0.810787085,  375365162
235,  0.809942178,  377509293
236,  0.813356718,  377950929
237,  0.792857816,  378123578
238,  0.787825817,  377958132
239,  0.821242218,  377876341
240,  0.814647105,  377991204
241,  0.815289740,  375979666
242,  0.801611523,  378490303
243,  0.808257906,  379310343
244,  0.809567789,  378455903
245,  0.815665650,  379073864
246,  0.815054949,  379015256
247,  0.804668809,  376043389
248,  0.800932842,  377896005
249,  0.822041944,  379210596
250,  0.802130158,  376646137
251,  0.812342678,  376701116
252,  0.799876257,  376161881
253,  0.803075093,  375389615
254,  0.821263724,  378030618
255,  0.817155035,  378848665
256,  0.833161168,  381244482
257,  0.819808355,  378299281
258,  0.806423924,  378128013
259,  0.816997101,  377048790
260,  0.821869133,  377047283
261,  0.823114529,  378396215
262,  0.838375336,  378426151
263,  0.837060530,  377013463
264,  0.826972533,  379587660
265,  0.831022343,  377733803
266,  0.826421862,  378116810
267,  0.847061747,  374163236
268,  0.814631563,  374845454
269,  0.824640113,  375035675
270,  0.827275554,  376523102
271,  0.824146999,  374354068
272,  0.818826032,  373359598
273,  0.843298811,  381237909
274,  0.850354603,  376208074
275,  0.833760788,  375637192
276,  0.835775697,  374599609
277,  0.851441041,  374337221
278,  0.857012077,  381584696
279,  0.844248164,  376116399
280,  0.833260580,  372459695
281,  0.849514555,  372038309
282,  0.842506347,  372180910
283,  0.831044991,  372304435
284,  0.844178823,  374173433
285,  0.853315004,  373710503
286,  0.849258863,  370227201
287,  0.843200082,  369600372
288,  0.830972940,  368556666
289,  0.849829902,  369543442
290,  0.850121736,  372638657
291,  0.849299076,  370713714
292,  0.859096084,  372104705
293,  0.864809629,  372097795
294,  0.834227207,  373012725
295,  0.862427279,  372696250
296,  0.852187328,  374047316
297,  0.852439149,  372275749
298,  0.858846012,  369325540
299,  0.858639549,  374358519
300,  0.849063901,  371230405
