b,  time,  L1-dcache-load-misses
1,  0.562751559,  333955413
2,  0.706751288,  198843597
3,  0.512443726,  228624961
4,  0.474036212,  187971491
5,  0.512893645,  179334184
6,  0.488226229,  159282717
7,  0.499571136,  156847942
8,  0.444184549,  115674583
9,  0.489099829,  150799806
10,  0.450379059,  147649662
11,  0.476615100,  148987909
12,  0.466269521,  136985252
13,  0.480993230,  146926232
14,  0.482134391,  143611133
15,  0.458244725,  145277794
16,  0.444557241,  124477391
17,  0.464591232,  150020033
18,  0.479064459,  152416801
19,  0.482617125,  158302813
20,  0.466279137,  161326477
21,  0.495636950,  180297170
22,  0.537886062,  202442701
23,  0.543954198,  215031953
24,  0.539194851,  216998962
25,  0.552322922,  232741405
26,  0.536549748,  244698530
27,  0.551175251,  255792628
28,  0.543778118,  262810208
29,  0.560743227,  275308911
30,  0.614832674,  298253134
31,  0.596962515,  296877724
32,  0.615369598,  310972616
33,  0.633579120,  332429004
34,  0.628210039,  342567712
35,  0.653642203,  353776286
36,  0.657588092,  367543210
37,  0.638536544,  365275879
38,  0.634036477,  368100004
39,  0.638295396,  374955736
40,  0.638081813,  379517981
41,  0.640710373,  380690707
42,  0.687866438,  387016472
43,  0.689692927,  395594165
44,  0.674437218,  388562005
45,  0.690308984,  393132326
46,  0.675682954,  389205139
47,  0.670173194,  389158847
48,  0.664525802,  386137362
49,  0.687807700,  394862166
50,  0.687660378,  390204921
51,  0.676634831,  390419513
52,  0.691005389,  388053665
53,  0.687096440,  388391550
54,  0.694095974,  389822985
55,  0.691882994,  392087184
56,  0.681749848,  388743973
57,  0.700670682,  391645902
58,  0.695132981,  388057687
59,  0.702647945,  390586142
60,  0.700308914,  388933887
61,  0.739498413,  395954600
62,  0.722870054,  387864540
63,  0.723569148,  391195047
64,  0.713383539,  388527938
65,  0.725176834,  390918660
66,  0.718594400,  389685176
67,  0.759209483,  396409505
68,  0.721139303,  387609536
69,  0.711950159,  389019851
70,  0.734237116,  391371522
71,  0.747278692,  393429388
72,  0.736179098,  386955023
73,  0.751730296,  390590668
74,  0.722365457,  391330266
75,  0.719714182,  390445252
76,  0.730687606,  386181034
77,  0.731753015,  390012362
78,  0.716256860,  388939566
79,  0.740182159,  395026718
80,  0.713538285,  386862085
81,  0.719697000,  387245374
82,  0.690060130,  386263129
83,  0.689541314,  387113605
84,  0.708940670,  388716511
85,  0.687541685,  386957044
86,  0.687247669,  387105877
87,  0.686053846,  385845516
88,  0.690479611,  384924169
89,  0.688435662,  385769309
90,  0.672248387,  385551742
91,  0.673517940,  385996450
92,  0.674876313,  386584638
93,  0.665958465,  385815420
94,  0.675701855,  385445566
95,  0.670884652,  385083413
96,  0.686157546,  391149881
97,  0.670429325,  383330032
98,  0.675780304,  384079928
99,  0.658568300,  385671278
100,  0.662665662,  385564582
101,  0.662778955,  387808319
102,  0.651027970,  382473362
103,  0.645036949,  382961530
104,  0.665654378,  387009929
105,  0.653911763,  385572439
106,  0.655746419,  383142883
107,  0.633620497,  383088267
108,  0.636683854,  383190405
109,  0.634483777,  382118811
110,  0.626966817,  382037932
111,  0.626498547,  380804471
112,  0.657419616,  386687826
113,  0.633551214,  381499988
114,  0.618543811,  380222566
115,  0.608939639,  379990108
116,  0.617786461,  381068376
117,  0.607648263,  380621328
118,  0.618589867,  379122085
119,  0.620969756,  383842791
120,  0.631349625,  381055821
121,  0.615125970,  383216033
122,  0.616435779,  379407762
123,  0.619127460,  381005457
124,  0.616086785,  380128232
