b,  time,  L1-dcache-load-misses
1,  0.563285842,  332811827
2,  0.628009972,  198986749
3,  0.568189834,  225517933
4,  0.498123485,  191557022
5,  0.466397002,  179888232
6,  0.465916899,  159212308
7,  0.462994814,  156962619
8,  0.473832970,  115701145
9,  0.480688433,  150784171
10,  0.498339395,  148058204
11,  0.473211126,  148641320
12,  0.470971953,  137004203
13,  0.450403518,  146711072
14,  0.466340608,  143609485
15,  0.446077937,  145252584
16,  0.445691889,  124408063
17,  0.466284063,  150008968
18,  0.467603576,  152329255
19,  0.464191634,  158205894
20,  0.466709386,  161198437
21,  0.490162787,  179562250
22,  0.519238077,  199151159
23,  0.521945194,  208471448
24,  0.499281732,  209757680
25,  0.528076237,  231073889
26,  0.516557360,  242883852
27,  0.527331612,  254513331
28,  0.539254872,  261589930
29,  0.568246119,  275300622
30,  0.607474279,  285053281
31,  0.615633107,  310602436
32,  0.589021416,  307996931
33,  0.634272471,  333905677
34,  0.625070887,  336844322
35,  0.640840939,  351407566
36,  0.645271827,  365070549
37,  0.641013394,  361891786
38,  0.637537927,  366982539
39,  0.676319472,  375478634
40,  0.652192389,  378767030
41,  0.656053398,  382128558
42,  0.667149649,  386647812
43,  0.666175331,  388491461
44,  0.661468649,  389693059
45,  0.676217232,  391245947
46,  0.672362094,  389728388
47,  0.688514956,  393896023
48,  0.690060566,  387455149
49,  0.742209203,  401817375
50,  0.703705728,  392626563
51,  0.721329473,  391622834
52,  0.684759626,  390758047
53,  0.699579432,  391254353
54,  0.691210724,  391866691
55,  0.695839396,  391935613
56,  0.691235896,  388486384
57,  0.722787961,  390121999
58,  0.703374531,  391393564
59,  0.706585934,  390017566
60,  0.720054206,  387690817
61,  0.718562951,  388610558
62,  0.721952194,  388788353
63,  0.727029698,  389421874
64,  0.713159791,  388665426
65,  0.738067568,  390213818
66,  0.727984561,  391311876
67,  0.747355608,  391016554
68,  0.722798716,  387127060
69,  0.738255847,  392590476
70,  0.721564001,  389439125
71,  0.731248696,  389365966
72,  0.727479600,  387228295
73,  0.729686795,  387752517
74,  0.721671121,  388941651
75,  0.706182100,  388962996
76,  0.717755741,  386505336
77,  0.715786719,  386707603
78,  0.716379852,  386826003
79,  0.717186526,  387062752
80,  0.725581973,  387174495
81,  0.711595578,  387167086
82,  0.712381276,  385697942
83,  0.701525599,  385068568
84,  0.709652802,  384860591
85,  0.698089641,  387814402
86,  0.682436014,  387469317
87,  0.687054136,  386484424
88,  0.702102058,  385330165
89,  0.694415732,  383675529
90,  0.681697562,  383624900
91,  0.679608811,  387652806
92,  0.709900852,  391448539
93,  0.695317986,  391256606
94,  0.680495114,  384342769
95,  0.663214527,  385866131
96,  0.712111433,  389958214
97,  0.665564283,  383061053
98,  0.647745561,  382840188
99,  0.648604609,  383783535
100,  0.644113705,  383428478
101,  0.652735451,  384227334
102,  0.651798703,  382491058
103,  0.642996053,  383472627
104,  0.668986080,  388095417
105,  0.632354052,  384889513
106,  0.631020071,  384960630
107,  0.619974217,  382493652
108,  0.652604626,  382289086
109,  0.631804400,  380457832
110,  0.628197618,  381498079
111,  0.616647980,  381532187
112,  0.651723134,  384961140
113,  0.667238995,  386519056
114,  0.629020806,  382767870
115,  0.641632954,  380219396
116,  0.629392765,  380811297
117,  0.642771387,  381011996
118,  0.646259290,  383425218
119,  0.623197004,  380205621
120,  0.610699380,  379971188
121,  0.619184002,  380602209
122,  0.626130552,  383273007
123,  0.613540444,  380411909
124,  0.635438444,  378916696
125,  0.615633990,  378668074
126,  0.624911335,  379823118
127,  0.605501248,  380950205
128,  0.609268199,  381762195
129,  0.600697007,  379939899
130,  0.618752609,  381268289
131,  0.602762639,  380308491
132,  0.598843300,  379529261
133,  0.619285990,  380260357
134,  0.624344265,  383239267
135,  0.601278912,  378372455
136,  0.606788139,  380561088
137,  0.629944282,  385465167
138,  0.618626595,  381393540
139,  0.600244851,  379104360
140,  0.613453549,  382354895
141,  0.591852479,  378673376
142,  0.605649672,  379644638
143,  0.588397676,  379074380
144,  0.592632175,  378487712
145,  0.587959074,  378292305
146,  0.589434209,  378106375
147,  0.602069725,  378296131
148,  0.595645630,  377896647
149,  0.614865981,  379670256
150,  0.608587925,  380178864
151,  0.604333001,  380461684
152,  0.593031484,  379760072
153,  0.594192512,  380120524
154,  0.629000638,  381534558
155,  0.603735189,  379195550
156,  0.607777215,  379636392
157,  0.623167422,  379255193
158,  0.606121593,  380558275
159,  0.594738244,  379098643
160,  0.632721397,  382285617
161,  0.649185164,  385194656
162,  0.624041939,  380079887
163,  0.621416577,  379757486
164,  0.668088822,  381087971
165,  0.636314238,  380766365
166,  0.650969142,  381186763
167,  0.654744771,  381947597
168,  0.666741263,  379584569
169,  0.666697399,  382400234
170,  0.656314677,  382771590
171,  0.655730500,  380534063
172,  0.665139660,  380655930
173,  0.679592794,  383548628
174,  0.661186624,  380424380
175,  0.711761208,  387403658
176,  0.702873591,  381840756
177,  0.687356037,  381113288
178,  0.729758831,  387337076
179,  0.728890047,  387982006
180,  0.718438009,  380764874
181,  0.747646961,  388333907
182,  0.739914725,  385844080
183,  0.730259711,  383397731
184,  0.729926736,  382759465
185,  0.758620202,  383608811
186,  0.738615624,  382997036
187,  0.765096924,  387801940
188,  0.771183147,  386132232
189,  0.749006529,  385341304
190,  0.743069857,  383870682
191,  0.766040455,  385020803
192,  0.793904842,  387831749
193,  0.758081081,  384436978
194,  0.756201289,  381908608
195,  0.768238717,  383170606
196,  0.759902897,  383495614
197,  0.767002187,  383318877
198,  0.793653328,  388681229
199,  0.785023757,  380588299
200,  0.773568443,  381356181
201,  0.786148388,  384694148
202,  0.788570029,  383790157
203,  0.769761153,  380687298
204,  0.786408466,  384553286
205,  0.784442807,  381749727
206,  0.790605220,  383297140
207,  0.778850475,  381639101
208,  0.784829689,  380034032
209,  0.790676494,  381622436
210,  0.788595129,  380031919
211,  0.784633033,  379681877
212,  0.806438527,  381628773
213,  0.804980952,  382006994
214,  0.822154200,  382428637
215,  0.795680835,  381895488
216,  0.801233842,  380779326
217,  0.799215842,  382575153
218,  0.789020164,  380975132
219,  0.808941660,  380623040
220,  0.796387416,  380649076
221,  0.785353607,  380021313
222,  0.843774829,  379186479
223,  0.793805237,  379494733
224,  0.796440177,  376501778
225,  0.813703043,  380515263
226,  0.798251399,  375558627
227,  0.798128855,  376219749
228,  0.842374711,  380364119
229,  0.833260772,  379916330
230,  0.811528150,  377017690
231,  0.861402325,  376448453
232,  0.897696978,  378267981
233,  0.900819890,  386765965
234,  0.822468560,  377095623
235,  0.800615368,  376977401
236,  0.816646023,  379196141
237,  0.804887380,  376896391
238,  0.830833998,  377711289
239,  0.785416227,  376977345
240,  0.788251604,  376343549
241,  0.811872527,  377810899
242,  0.805644757,  375694877
243,  0.816337400,  379524432
244,  0.800229388,  378598320
245,  0.817081048,  378858420
246,  0.838085435,  380431895
247,  0.837619064,  375365116
248,  0.829131236,  377642942
249,  0.899105043,  384414307
250,  0.817253037,  378037218
251,  0.802162561,  376467177
252,  0.802915868,  378422390
253,  0.850674035,  382402319
254,  0.804082467,  379886426
255,  0.798257837,  376586331
256,  0.813099360,  377604159
257,  0.843375892,  378370729
258,  0.819488930,  374960876
259,  0.813675873,  374289095
260,  0.837481188,  373271340
261,  0.916980465,  380053330
262,  0.855754418,  378834541
263,  0.856018873,  375279840
264,  0.838303471,  376633014
265,  0.858486566,  379306216
266,  0.835143822,  374528344
267,  0.838769955,  375339190
268,  0.814220583,  374361246
269,  0.821551029,  376523494
270,  0.833498017,  373606548
271,  0.849891973,  373545740
272,  0.840440602,  375264574
273,  0.843106350,  375702510
274,  0.845107025,  376105013
275,  0.837082968,  375376130
276,  0.960768536,  396971392
277,  0.833129784,  373774809
278,  0.845900434,  373785098
279,  0.880043728,  372202460
280,  0.841211048,  374042472
281,  0.842135475,  374124096
282,  0.828764229,  373429536
283,  0.838940729,  373983925
284,  0.837667176,  372257816
285,  0.849000324,  370967756
286,  0.865045044,  377449493
287,  0.842932437,  376177179
288,  0.874562900,  376301908
289,  0.882415046,  376285564
290,  0.861627501,  380105275
291,  0.853815334,  375145320
292,  0.872067434,  379988458
293,  0.848697650,  371967393
294,  0.862263763,  372406895
295,  0.865571726,  374118580
296,  0.854062512,  371998767
297,  0.875168432,  372437697
298,  0.846484614,  372174036
299,  0.840143009,  369913450
300,  0.839280314,  374933114
