matrix_size_list , ave_total_time_list , ave_compu_time_list , ave_commu_time_list
             800 ,               0.009 ,                 0.0 ,               0.009
             880 ,               0.009 ,                 0.0 ,               0.009
             960 ,               0.023 ,                 0.0 ,               0.023
            1040 ,               0.023 ,                 0.0 ,               0.023
            1120 ,               0.023 ,                 0.0 ,               0.023
            1200 ,               0.024 ,              0.0001 ,               0.023
            1280 ,               0.024 ,               0.001 ,               0.023
            1360 ,               0.024 ,               0.001 ,               0.023
            1440 ,               0.024 ,               0.001 ,               0.024
            1520 ,               0.025 ,               0.001 ,               0.024
            1600 ,               0.025 ,               0.001 ,               0.024
            1680 ,               0.026 ,               0.001 ,               0.024
            1760 ,               0.026 ,               0.001 ,               0.025
            1840 ,               0.026 ,               0.002 ,               0.025
            1920 ,               0.027 ,               0.002 ,               0.025
            2000 ,               0.027 ,               0.002 ,               0.025
            2080 ,               0.028 ,               0.002 ,               0.026
            2160 ,               0.028 ,              0.0021 ,               0.026
            2240 ,               0.029 ,               0.003 ,               0.026
            2320 ,                0.03 ,               0.003 ,               0.027
            2400 ,                0.03 ,               0.003 ,               0.027
            2480 ,               0.031 ,               0.004 ,               0.027
            2560 ,               0.032 ,               0.004 ,               0.028
            2640 ,               0.033 ,              0.0041 ,               0.028
            2720 ,               0.033 ,               0.005 ,               0.029
            2800 ,               0.034 ,               0.005 ,               0.029
            2880 ,               0.035 ,               0.006 ,               0.029
            2960 ,               0.036 ,               0.006 ,                0.03
            3040 ,               0.037 ,               0.007 ,                0.03
            3120 ,               0.038 ,               0.007 ,               0.031
            3200 ,               0.039 ,               0.008 ,               0.031
            3280 ,                0.04 ,               0.009 ,              0.0319
            3360 ,              0.0414 ,               0.009 ,               0.032
            3440 ,               0.043 ,                0.01 ,              0.0329
            3520 ,               0.044 ,               0.011 ,               0.033
            3600 ,               0.045 ,              0.0117 ,               0.034
            3680 ,              0.0461 ,               0.012 ,               0.034
            3760 ,               0.048 ,              0.0131 ,               0.035
            3840 ,               0.049 ,               0.014 ,               0.035
            3920 ,               0.051 ,               0.015 ,               0.036
            4000 ,               0.052 ,              0.0159 ,              0.0364
            4080 ,               0.054 ,               0.017 ,               0.037
            4160 ,               0.055 ,               0.018 ,              0.0377
            4240 ,               0.057 ,              0.0189 ,               0.038
            4320 ,              0.0588 ,                0.02 ,               0.039
            4400 ,              0.0601 ,               0.021 ,              0.0394
            4480 ,              0.0621 ,              0.0222 ,              0.0399
            4560 ,               0.064 ,              0.0237 ,                0.04
            4640 ,               0.066 ,               0.025 ,               0.041
            4720 ,               0.068 ,               0.026 ,              0.0418
            4800 ,                0.07 ,               0.027 ,              0.0424
            4880 ,               0.072 ,               0.029 ,              0.0429
            4960 ,               0.074 ,              0.0302 ,              0.0438
            5040 ,              0.0761 ,              0.0319 ,              0.0442
            5120 ,               0.078 ,              0.0331 ,               0.045
            5200 ,              0.0803 ,              0.0348 ,              0.0459
            5280 ,               0.083 ,              0.0362 ,              0.0465
            5360 ,               0.085 ,               0.038 ,               0.047
