iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  3,  14,  1.236250529,  1204024690,  1960313
2,  3,  14,  1.436971173,  1204542066,  2609646
3,  3,  14,  1.236281650,  1204677553,  2101341
4,  3,  14,  1.237247935,  1204731323,  2414814
5,  3,  14,  1.236587059,  1204742834,  2081948
6,  3,  14,  1.236543584,  1204640914,  2081845
7,  3,  14,  1.236965390,  1204792552,  2128563
8,  3,  14,  1.237027415,  1204784511,  2124028
9,  3,  14,  1.236002484,  1204736966,  2057698
10,  3,  14,  1.437584954,  1204946587,  3161763
