iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  4,  14.457827469,  1771851771,  201005339
2,  1,  4,  15.839244776,  1788232592,  319984437
3,  1,  4,  14.638100269,  1789783056,  204112128
4,  1,  4,  14.238145793,  1770878140,  196871900
5,  1,  4,  14.037174599,  1773425591,  195042901
6,  1,  4,  14.237639816,  1778268841,  197546131
7,  1,  4,  14.438144046,  1771975086,  197388159
8,  1,  4,  14.637818884,  1791751320,  193522360
9,  1,  4,  15.239197139,  1803478071,  208481805
10,  1,  4,  14.638097951,  1778271348,  199999550
