iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  3,  13.836914182,  1515095186,  158902524
2,  1,  3,  14.838976372,  1516339624,  181921528
3,  1,  3,  14.640385564,  1500087880,  177602815
4,  1,  3,  14.237853374,  1497644907,  175123912
5,  1,  3,  14.440211377,  1499011159,  175259013
6,  1,  3,  14.240927342,  1504178206,  179790165
7,  1,  3,  13.839382035,  1500615597,  164020239
8,  1,  3,  14.239208908,  1501236426,  172699605
9,  1,  3,  14.638724691,  1526852819,  176636804
10,  1,  3,  14.439462807,  1500192012,  180178622
