iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  3,  82.868389683,  3719511657,  250285737
2,  2,  3,  83.067264865,  3726445488,  251934053
3,  2,  3,  81.266168865,  3672166787,  247081823
4,  2,  3,  82.667298642,  3776021924,  251666242
5,  2,  3,  82.870365127,  3776186815,  250333037
6,  2,  3,  83.067468546,  3769107106,  249960783
7,  2,  3,  81.667391017,  3660627341,  246496728
8,  2,  3,  83.670126421,  3705182630,  248177666
9,  2,  3,  82.868063096,  3721042471,  250846817
10,  2,  3,  82.870126316,  3671094461,  253819156
