iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  3,  17,  1.237402116,  1204641636,  2039600
2,  3,  17,  1.238093506,  1204603577,  2034889
3,  3,  17,  1.437513433,  1204921345,  5754513
4,  3,  17,  1.237781013,  1204616815,  2050790
5,  3,  17,  1.437742924,  1204983989,  3744002
6,  3,  17,  1.237605457,  1204791614,  2059495
7,  3,  17,  1.237968441,  1204694334,  2046564
8,  3,  17,  1.237044310,  1204619571,  2086888
9,  3,  17,  1.237546874,  1204808413,  2492315
10,  3,  17,  1.237665255,  1204612933,  3347590
