iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  15,  26.243420093,  4205371055,  830939047
2,  1,  15,  26.441281608,  4300485306,  826925680
3,  1,  15,  26.043309200,  4265764865,  773212650
4,  1,  15,  27.640232342,  4224494131,  797454816
5,  1,  15,  26.243709681,  4232474492,  764176338
6,  1,  15,  25.042682399,  4234372391,  799854179
7,  1,  15,  25.842604979,  4249987719,  830536345
8,  1,  15,  26.240760834,  4328846532,  767844393
9,  1,  15,  27.242058839,  4187495451,  785161598
10,  1,  15,  25.844360806,  4191620228,  796973962
