iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  18,  24.839307301,  5626966210,  494774773
2,  2,  18,  24.840201040,  5626366640,  494315635
3,  2,  18,  24.840370407,  5633366867,  494986858
4,  2,  18,  24.640389279,  5631416462,  491475769
5,  2,  18,  24.840611862,  5630606054,  492549921
6,  2,  18,  24.839944319,  5627023432,  494822128
7,  2,  18,  24.840414221,  5628765956,  496746477
8,  2,  18,  24.839906070,  5625097743,  493365225
9,  2,  18,  24.839651123,  5629004169,  494868865
10,  2,  18,  24.640242347,  5629244526,  491709448
