iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  19,  24.038552871,  5709054854,  500403666
2,  2,  19,  24.041574113,  5679480266,  503515008
3,  2,  19,  24.039340080,  5707549162,  499840012
4,  2,  19,  23.837844238,  5710970767,  498336125
5,  2,  19,  24.039205515,  5709857268,  499348694
6,  2,  19,  24.038350621,  5717634282,  499751107
7,  2,  19,  24.041844193,  5673741950,  503584028
8,  2,  19,  24.038542316,  5707572786,  499405267
9,  2,  19,  24.041312243,  5679598510,  504864187
10,  2,  19,  23.838628883,  5709911167,  499740816
