iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  6,  16.881272895,  2278105269,  351049052
2,  1,  6,  16.638836358,  2309018124,  235996613
3,  1,  6,  17.038918134,  2276915460,  349149124
4,  1,  6,  17.239422827,  2291990010,  348151701
5,  1,  6,  16.840104717,  2270701353,  350330238
6,  1,  6,  17.039700129,  2285399029,  239257672
7,  1,  6,  18.039799045,  2325876840,  249133172
8,  1,  6,  20.040625248,  2288954052,  454658584
9,  1,  6,  17.240751723,  2289624239,  238309036
10,  1,  6,  17.239267234,  2303796212,  350657982
