iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  18,  27.443262520,  4815548906,  683079420
2,  1,  18,  28.043520324,  4750527726,  812356894
3,  1,  18,  27.642249541,  4705839792,  793481202
4,  1,  18,  27.843356211,  4739782161,  769521469
5,  1,  18,  28.442737104,  4776001765,  904015409
6,  1,  18,  28.643038808,  4719094229,  924527098
7,  1,  18,  27.642204274,  4736933580,  726659360
8,  1,  18,  27.241782115,  4656613922,  889422770
9,  1,  18,  29.243949250,  4662701819,  976266633
10,  1,  18,  27.642621742,  4771023406,  897711648
