iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  8,  20.039265569,  2819663439,  507761049
2,  1,  8,  19.840386591,  2819165338,  334556480
3,  1,  8,  19.639005798,  2816916568,  461976106
4,  1,  8,  21.039194734,  2774103623,  382954501
5,  1,  8,  20.439209608,  2803960370,  474252540
6,  1,  8,  21.040518669,  2916955171,  529081263
7,  1,  8,  20.040121659,  2758416053,  319891990
8,  1,  8,  21.040902168,  2831825306,  399734567
9,  1,  8,  20.040641343,  2850075692,  471082495
10,  1,  8,  20.841999231,  2819851174,  646918959
