iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  2,  111.079564156,  4965095743,  20995827
2,  2,  2,  119.479574706,  5361575761,  14661861
3,  2,  2,  117.284224674,  5270834026,  20036046
4,  2,  2,  131.088084549,  5962536595,  11983963
5,  2,  2,  112.679854355,  5026948536,  13348660
6,  2,  2,  121.085019518,  5449042823,  23962618
7,  2,  2,  135.091797135,  6145063835,  17775523
8,  2,  2,  119.884612338,  5405388136,  18201141
9,  2,  2,  127.486477782,  5777359025,  13435461
10,  2,  2,  126.286961864,  5726603783,  14568720
