iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  3,  12,  1.436961721,  1204280510,  1880800
2,  3,  12,  1.436242687,  1204281170,  1824008
3,  3,  12,  1.436345109,  1204252748,  1790242
4,  3,  12,  1.436807727,  1204139846,  1806451
5,  3,  12,  1.435847217,  1204172248,  1784098
6,  3,  12,  1.436418301,  1204185070,  2378623
7,  3,  12,  1.436604516,  1204204913,  1880292
8,  3,  12,  1.436222657,  1204176800,  2039394
9,  3,  12,  1.436244571,  1204200913,  2243323
10,  3,  12,  1.436600990,  1204154197,  2385825
