iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  17,  26.042330630,  5573482207,  482819510
2,  2,  17,  25.843014809,  5537263588,  487282833
3,  2,  17,  25.842740003,  5534569220,  487328325
4,  2,  17,  25.642742225,  5594402553,  482728852
5,  2,  17,  25.843028530,  5578066386,  482370282
6,  2,  17,  25.840794987,  5580523990,  482384241
7,  2,  17,  25.841987355,  5535777670,  486580295
8,  2,  17,  25.841665134,  5599123369,  478386743
9,  2,  17,  25.841688724,  5538448330,  487028699
10,  2,  17,  25.842594341,  5552461829,  485709585
