iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  13,  25.441232722,  3799351387,  750518963
2,  1,  13,  25.442785311,  3817114435,  679296014
3,  1,  13,  26.243944385,  3876675343,  811970419
4,  1,  13,  26.243093986,  3907845334,  723483168
5,  1,  13,  24.843080903,  3904066693,  658851108
6,  1,  13,  25.243782146,  3786320407,  676184070
7,  1,  13,  24.642315671,  3870709693,  747143404
8,  1,  13,  26.442002345,  3820031844,  797187015
9,  1,  13,  25.241304883,  3874313522,  748630578
10,  1,  13,  24.442697383,  3887390099,  749873756
