iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  3,  19,  1.237817080,  1204368797,  4192040
2,  3,  19,  1.235802669,  1204392462,  5083805
3,  3,  19,  1.236552475,  1204477474,  4186809
4,  3,  19,  1.237200716,  1204479180,  2371579
5,  3,  19,  1.237305657,  1204351421,  2187440
6,  3,  19,  1.237325526,  1204274587,  2119478
7,  3,  19,  1.436708109,  1204353977,  4185370
8,  3,  19,  1.437266048,  1204356515,  3110223
9,  3,  19,  1.637222146,  1204192712,  3579439
10,  3,  19,  1.237293100,  1204301229,  1965622
