iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  3,  4,  2.236056356,  1203832078,  3594064
2,  3,  4,  2.237086170,  1203941383,  3617014
3,  3,  4,  2.236935031,  1203828984,  3567109
4,  3,  4,  2.236977440,  1204194552,  3557075
5,  3,  4,  2.237617399,  1203997939,  3543216
6,  3,  4,  2.237740889,  1204283455,  3578624
7,  3,  4,  2.237907457,  1204124131,  3569924
8,  3,  4,  2.237637154,  1204276334,  3562817
9,  3,  4,  2.236779084,  1204279714,  3466284
10,  3,  4,  2.237358882,  1204172660,  3550708
