iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  7,  18.440768041,  2554863058,  356272714
2,  1,  7,  20.641327689,  2541455826,  433283376
3,  1,  7,  19.439316359,  2540990450,  386877576
4,  1,  7,  18.438705047,  2557206149,  373027581
5,  1,  7,  18.041620973,  2547864460,  253951256
6,  1,  7,  18.239037226,  2542189463,  380135675
7,  1,  7,  17.438767702,  2559010607,  297009560
8,  1,  7,  20.440635954,  2540236918,  414431319
9,  1,  7,  17.840709212,  2536770174,  260824250
10,  1,  7,  19.839616143,  2541695706,  430479269
