iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  14,  52.974615327,  4594348455,  1002144242
2,  fast,  14,  55.159226727,  4586199378,  1020710024
3,  fast,  14,  57.978996095,  4460665061,  1038636745
4,  fast,  14,  57.576490044,  4417898838,  955897669
5,  fast,  14,  54.974825251,  4642715879,  901283384
6,  fast,  14,  53.774265850,  4644536154,  1198730441
7,  fast,  14,  57.775355988,  4580217343,  1061337134
8,  fast,  14,  55.575860968,  4513506675,  1005313965
9,  fast,  14,  56.175904004,  4505660250,  1010987839
10,  fast,  14,  48.773351386,  4467583708,  644605184
