iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  10,  2.553606297,  4638393821,  176614067
2,  1,  10,  2.553952245,  4638742286,  174493646
3,  1,  10,  2.553882946,  4636334755,  173621237
4,  1,  10,  2.353608575,  4640947715,  174210547
5,  1,  10,  2.353404977,  4637442869,  176615374
6,  1,  10,  2.553995398,  4638779952,  172780510
7,  1,  10,  2.354061335,  4636785923,  178974271
8,  1,  10,  2.553563745,  4632662237,  175482845
9,  1,  10,  2.554261566,  4635238050,  175428826
10,  1,  10,  2.554140173,  4637573912,  172925300
