iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  8,  18.760194826,  1142091683,  354505727
2,  fast1000,  8,  16.561206757,  1119058057,  341807282
3,  fast1000,  8,  17.761032189,  1149806040,  364146167
4,  fast1000,  8,  18.561754280,  1112647678,  328608204
5,  fast1000,  8,  18.762426406,  1154431805,  337902286
6,  fast1000,  8,  17.160241727,  1125593546,  338787841
7,  fast1000,  8,  17.960912606,  1178164177,  398233587
8,  fast1000,  8,  19.162127802,  1149218184,  339717929
9,  fast1000,  8,  17.361644569,  1138808522,  355907097
10,  fast1000,  8,  18.561267393,  1115077585,  328328158
