iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  14,  15.958799021,  1337710603,  378454102
2,  fast1500,  14,  16.359228191,  1322889173,  376754594
3,  fast1500,  14,  16.159353461,  1314225601,  372995492
4,  fast1500,  14,  16.960424224,  1339948894,  439086011
5,  fast1500,  14,  16.961286585,  1301731187,  385806757
6,  fast1500,  14,  15.760624336,  1369201488,  397872537
7,  fast1500,  14,  15.558702239,  1335365985,  375815872
8,  fast1500,  14,  16.359971465,  1327084426,  380869631
9,  fast1500,  14,  16.559631390,  1310522505,  395436421
10,  fast1500,  14,  16.361040772,  1293301649,  344033624
