iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  18,  2.751762475,  3968217035,  195083694
2,  1,  18,  2.753784193,  3969067522,  191312723
3,  1,  18,  2.554594545,  3954779142,  190417929
4,  1,  18,  2.754956470,  3964283222,  190884064
5,  1,  18,  2.553432446,  3972179558,  188057056
6,  1,  18,  2.553112540,  3967204406,  194056925
7,  1,  18,  2.553662464,  3967529495,  187938058
8,  1,  18,  2.554043632,  3972540239,  185969514
9,  1,  18,  2.754028190,  3964748338,  186250487
10,  1,  18,  2.554234431,  3967519899,  190988003
