iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  3,  27.563604777,  911147802,  384712936
2,  fast,  3,  27.764902539,  896487825,  388478539
3,  fast,  3,  27.164201832,  950706500,  386701471
4,  fast,  3,  27.965930553,  937343122,  391768805
5,  fast,  3,  27.564771342,  902146691,  392297788
6,  fast,  3,  27.764187256,  885504699,  388472021
7,  fast,  3,  27.564958089,  925140439,  389561126
8,  fast,  3,  28.166149852,  929495646,  398303476
9,  fast,  3,  27.765289163,  895837426,  391047194
10,  fast,  3,  27.965443507,  908439594,  393989775
