iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  8,  2.555106444,  4693618199,  168766634
2,  1,  8,  2.553613178,  4693849609,  171768774
3,  1,  8,  2.553359318,  4697372267,  168987652
4,  1,  8,  2.553668925,  4696407298,  168593499
5,  1,  8,  2.554156831,  4696313711,  167308524
6,  1,  8,  3.353663426,  4726342399,  169112758
7,  1,  8,  2.554116070,  4693880947,  171054202
8,  1,  8,  2.554033589,  4695471333,  174650052
9,  1,  8,  2.553682843,  4694514426,  172136886
10,  1,  8,  2.554740766,  4695675171,  168876755
