iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  20,  66.970147777,  6548479853,  1422877356
2,  fast,  20,  140.796814808,  6502979190,  1378836252
3,  fast,  20,  224.409298412,  6579058963,  1428770216
4,  fast,  20,  247.238037486,  6851966873,  1465714079
5,  fast,  20,  68.570297848,  6620335333,  1455623195
6,  fast,  20,  70.571239836,  6323733741,  1527481442
7,  fast,  20,  68.370991602,  6563372911,  1307193207
8,  fast,  20,  124.197827401,  6346597272,  1368191875
9,  fast,  20,  70.570051870,  6647618133,  1194865127
10,  fast,  20,  70.972098702,  6499750894,  1306642042
