iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  14,  2.555377027,  4370487040,  181044965
2,  1,  14,  2.353551853,  4378282309,  171044153
3,  1,  14,  2.554398200,  4379939161,  182059423
4,  1,  14,  2.553705514,  4375285219,  182643630
5,  1,  14,  2.354667533,  4385855221,  172013976
6,  1,  14,  2.553523177,  4379436810,  182112674
7,  1,  14,  2.554374533,  4380681828,  183955840
8,  1,  14,  2.553563010,  4383622468,  185237965
9,  1,  14,  2.554372401,  4384055671,  182679309
10,  1,  14,  2.353749080,  4380146252,  185380896
