iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  13,  15.560166771,  1238016838,  328942612
2,  fast1500,  13,  15.360498020,  1194734952,  387445905
3,  fast1500,  13,  14.960917952,  1230656445,  368387742
4,  fast1500,  13,  14.759823722,  1284699939,  369479178
5,  fast1500,  13,  16.161417885,  1239729599,  349999318
6,  fast1500,  13,  15.961087823,  1255462192,  368328107
7,  fast1500,  13,  16.159495287,  1241956112,  349368222
8,  fast1500,  13,  16.360680259,  1249187185,  371316478
9,  fast1500,  13,  15.759420681,  1220452755,  364607477
10,  fast1500,  13,  15.759013384,  1257684888,  365461591
