iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  11,  14.557978002,  1087120785,  325440228
2,  fast1500,  11,  15.759872583,  1098192308,  379215460
3,  fast1500,  11,  13.358464085,  1069748371,  338349496
4,  fast1500,  11,  15.159644128,  1049167063,  367016795
5,  fast1500,  11,  15.960335156,  1083742539,  336589719
6,  fast1500,  11,  13.759918217,  1131448657,  360040091
7,  fast1500,  11,  14.360204634,  1084222365,  309713352
8,  fast1500,  11,  14.559738320,  1039862497,  327991068
9,  fast1500,  11,  15.360569989,  1082721175,  353503506
10,  fast1500,  11,  15.360098823,  1084793107,  336061092
