iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  5,  3.152641932,  4702243793,  165224636
2,  1,  5,  2.952995827,  4700132829,  164841495
3,  1,  5,  3.154714431,  4698993104,  167681779
4,  1,  5,  3.153895463,  4702185891,  169415472
5,  1,  5,  2.953662493,  4699333176,  166515028
6,  1,  5,  2.954275738,  4699483984,  164522540
7,  1,  5,  2.953249866,  4699164228,  165678381
8,  1,  5,  3.154126500,  4699914295,  168016109
9,  1,  5,  2.954203867,  4701278904,  165097179
10,  1,  5,  2.954346226,  4698732972,  166371590
