iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  17,  3.152831806,  4113082239,  192995239
2,  1,  17,  2.554431751,  4087613405,  179880682
3,  1,  17,  2.753867246,  4070945517,  193872270
4,  1,  17,  2.554815573,  4089671057,  188246283
5,  1,  17,  2.533737713,  4090980350,  190333383
6,  1,  17,  2.554666898,  4084671694,  184000274
7,  1,  17,  2.553722404,  4080752292,  190389641
8,  1,  17,  2.754622236,  4096197055,  181540338
9,  1,  17,  2.554216888,  4085075236,  184669089
10,  1,  17,  2.553713387,  4085057440,  189335807
