iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  13,  3.154317052,  4495216763,  182435241
2,  1,  13,  3.754822482,  4537251566,  181066174
3,  1,  13,  2.554823368,  4463052434,  179391714
4,  1,  13,  2.553832275,  4464008749,  183846016
5,  1,  13,  2.553990458,  4462541565,  179660086
6,  1,  13,  2.554388125,  4466488071,  179178451
7,  1,  13,  2.554490197,  4463702912,  181014267
8,  1,  13,  2.554402846,  4457384917,  178081662
9,  1,  13,  2.554184240,  4457660865,  180544063
10,  1,  13,  2.753714249,  4458030676,  182314851
