iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  12,  52.373935454,  3867662771,  810819359
2,  fast,  12,  48.974862626,  3934847636,  1003831537
3,  fast,  12,  52.772878318,  3909132541,  867891310
4,  fast,  12,  52.774540978,  3966140024,  845864505
5,  fast,  12,  50.972793715,  3929018354,  835895826
6,  fast,  12,  51.373475428,  3970076607,  849025940
7,  fast,  12,  51.772287282,  4040883818,  950735540
8,  fast,  12,  53.973919295,  3905608534,  867405682
9,  fast,  12,  54.373594698,  3896674795,  939495248
10,  fast,  12,  53.972655127,  3832972321,  843606078
