iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  18,  64.377589984,  5884184270,  1395733006
2,  fast,  18,  65.378860567,  5802129540,  1348784411
3,  fast,  18,  60.976697823,  5818877461,  1182660274
4,  fast,  18,  61.777740634,  5898349260,  1323365805
5,  fast,  18,  61.176710447,  5850560991,  1205802152
6,  fast,  18,  66.979706320,  5830822829,  1398194353
7,  fast,  18,  64.979713191,  5843669814,  1363384346
8,  fast,  18,  64.379108677,  5848107466,  1311185240
9,  fast,  18,  64.577024890,  5735724392,  1117977897
10,  fast,  18,  63.982091095,  5788951531,  1184070376
