iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  7,  2.753085275,  4700250025,  171438154
2,  1,  7,  2.553810483,  4700316312,  166237771
3,  1,  7,  2.554002461,  4702092984,  170465739
4,  1,  7,  2.553385014,  4702776059,  167924766
5,  1,  7,  2.755736833,  4701819441,  169698306
6,  1,  7,  2.554016561,  4702281613,  168207556
7,  1,  7,  2.554361883,  4702648281,  168769144
8,  1,  7,  2.753958239,  4701470836,  172068096
9,  1,  7,  2.553126510,  4702313756,  168032476
10,  1,  7,  2.553969367,  4701161561,  168024871
