iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  1,  8.940821031,  4688224102,  153859666
2,  fast1500,  1,  8.946670658,  4680747623,  153885326
3,  fast1500,  1,  8.955594457,  4694888685,  153885257
4,  fast1500,  1,  8.918473220,  4686652794,  153878400
5,  fast1500,  1,  8.932829002,  4683354607,  153879908
6,  fast1500,  1,  8.968607080,  4684158276,  153879590
7,  fast1500,  1,  8.988810185,  4682986575,  153877369
8,  fast1500,  1,  8.952944776,  4687614551,  153887395
9,  fast1500,  1,  8.933149767,  4686267669,  153878007
10,  fast1500,  1,  8.937381690,  4687746247,  153880124
