iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  5,  34.569119563,  1641742982,  515265928
2,  fast,  5,  34.168129031,  1620976706,  488077174
3,  fast,  5,  33.965371694,  1623575232,  483432013
4,  fast,  5,  33.565525021,  1633986081,  483099803
5,  fast,  5,  33.164673898,  1614114637,  491497765
6,  fast,  5,  33.966093615,  1606710357,  489908749
7,  fast,  5,  33.968178744,  1611692687,  477587664
8,  fast,  5,  33.767998051,  1613277779,  480566756
9,  fast,  5,  33.565599944,  1606827203,  481036932
10,  fast,  5,  32.765399081,  1644924999,  523322641
