iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  10,  14.759383885,  978892177,  342955700
2,  fast1500,  10,  14.559299183,  970411580,  317805942
3,  fast1500,  10,  14.759358147,  978359642,  316158115
4,  fast1500,  10,  13.758407939,  981969888,  307118883
5,  fast1500,  10,  14.360117355,  970462929,  318729933
6,  fast1500,  10,  14.960016045,  999318968,  324757301
7,  fast1500,  10,  13.358804442,  1000862435,  332053717
8,  fast1500,  10,  14.959285717,  1003021785,  326055908
9,  fast1500,  10,  14.359277941,  1015521099,  313611354
10,  fast1500,  10,  14.959580080,  1005152663,  325656321
