iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  15,  59.177713092,  4958004820,  1139661230
2,  fast,  15,  55.576668229,  4889016462,  1020076526
3,  fast,  15,  57.177483895,  4931137896,  1047885702
4,  fast,  15,  57.576517036,  4889853509,  1104712082
5,  fast,  15,  57.377319225,  4908076440,  1014423829
6,  fast,  15,  59.579312993,  4897613632,  1106647060
7,  fast,  15,  58.978309454,  4955018429,  1221453492
8,  fast,  15,  58.977528577,  4864429035,  947710062
9,  fast,  15,  57.375648065,  4875156294,  1086905135
10,  fast,  15,  58.578276873,  4891878801,  1083378948
