iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  8,  37.766507322,  2665987716,  602930356
2,  fast,  8,  40.169539565,  2704515860,  764322669
3,  fast,  8,  44.969105468,  2594355612,  749084473
4,  fast,  8,  39.766728809,  2710224029,  756360179
5,  fast,  8,  41.567179589,  2686133273,  669406334
6,  fast,  8,  39.167217445,  2679847785,  616156875
7,  fast,  8,  40.369870147,  2623718496,  646078960
8,  fast,  8,  39.769336407,  2656651281,  682590442
9,  fast,  8,  42.571468924,  2579041780,  569219663
10,  fast,  8,  40.969123205,  2713476319,  752225603
