iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  16,  60.175788307,  5187449000,  1073737881
2,  fast,  16,  59.975381331,  5034567888,  1052472864
3,  fast,  16,  63.978513444,  5201543592,  1356444643
4,  fast,  16,  57.777404628,  5191211311,  1145177898
5,  fast,  16,  62.778918098,  5207164275,  1406174906
6,  fast,  16,  59.757157742,  5210613968,  1137293573
7,  fast,  16,  58.575931798,  5173396005,  1127423619
8,  fast,  16,  60.577937210,  5269319068,  1154073392
9,  fast,  16,  62.179189173,  5168849583,  1172024310
10,  fast,  16,  60.377264279,  5037660950,  1079373332
