iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  20,  27.960999389,  2713830311,  474442514
9,  fast1000,  20,  55.570694941,  2741868318,  645053011
2,  fast1000,  20,  28.962173832,  2698874208,  613707819
10,  fast1000,  20,  42.363620080,  2756697959,  644184893
3,  fast1000,  20,  ,  ,  
4,  fast1000,  20,  59.170287803,  2787694868,  566734296
5,  fast1000,  20,  57.975273650,  2849210560,  635533299
6,  fast1000,  20,  33.362654075,  2665793407,  547023272
7,  fast1000,  20,  96.377851921,  2811615100,  697248666
8,  fast1000,  20,  31.962471358,  2678790789,  557155824
9,  fast1000,  20,  27.960439592,  2682651055,  584081435
10,  fast1000,  20,  43.370495923,  2698555647,  667490273
