iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  6,  2.553000514,  4703060614,  167071519
2,  1,  6,  2.754127592,  4701016782,  164058585
3,  1,  6,  2.754060344,  4701316933,  163963111
4,  1,  6,  2.753741322,  4702159541,  164297789
5,  1,  6,  2.749969255,  4702444634,  164348399
6,  1,  6,  2.754510740,  4701483605,  164676455
7,  1,  6,  2.754264199,  4702363603,  164443228
8,  1,  6,  2.749018580,  4700171899,  170237115
9,  1,  6,  2.754433529,  4704309483,  163859801
10,  1,  6,  2.754824427,  4701750824,  164578427
