iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  7,  36.365335043,  2268575845,  604346422
2,  fast,  7,  39.768105778,  2179681743,  578418798
3,  fast,  7,  41.168839626,  2220648765,  600250445
4,  fast,  7,  40.969803233,  2224023729,  595739957
5,  fast,  7,  40.369469005,  2227406702,  589492688
6,  fast,  7,  40.170150606,  2231559955,  601889721
7,  fast,  7,  36.167728012,  2250398852,  554311586
8,  fast,  7,  38.969890439,  2104501324,  560209044
9,  fast,  7,  35.168980733,  2252201750,  514622337
10,  fast,  7,  36.367194024,  2246553139,  565222622
