iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  20,  19.758557438,  1898308962,  488041200
2,  fast1500,  20,  21.759910189,  1884846444,  464873805
3,  fast1500,  20,  20.158681931,  1868934163,  489837208
4,  fast1500,  20,  19.758487169,  1817969965,  461599117
5,  fast1500,  20,  64.974943040,  1991038564,  400315500
6,  fast1500,  20,  20.157932094,  1893765085,  445440587
7,  fast1500,  20,  69.577378755,  2032307291,  517364837
8,  fast1500,  20,  19.159222599,  1856119548,  458752897
9,  fast1500,  20,  20.359119161,  1819504241,  474229989
10,  fast1500,  20,  47.771494827,  1964024091,  461924796
