iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  5,  12.556309536,  817800432,  263187132
2,  fast1500,  5,  12.558547055,  816759424,  249754821
3,  fast1500,  5,  12.558469008,  754908436,  248574524
4,  fast1500,  5,  12.558455791,  837663373,  275144400
5,  fast1500,  5,  12.558341304,  818590456,  248889096
6,  fast1500,  5,  12.958740044,  821431814,  266869459
7,  fast1500,  5,  12.358441554,  753346305,  248094382
8,  fast1500,  5,  12.358997095,  735879430,  244146261
9,  fast1500,  5,  12.357564957,  782236460,  248146332
10,  fast1500,  5,  12.557292919,  749291382,  252323365
