iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  19,  65.775267757,  6242995312,  1365256828
2,  fast,  19,  64.169612113,  6094905923,  1437034279
3,  fast,  19,  65.354544048,  6147301496,  1364628817
4,  fast,  19,  67.171247255,  6495717013,  1333333269
5,  fast,  19,  63.375932436,  6094259499,  1195722784
6,  fast,  19,  68.171189301,  6026409901,  1410705515
7,  fast,  19,  63.967647609,  6135835902,  1376625869
8,  fast,  19,  64.576458586,  6119686346,  1214544337
9,  fast,  19,  67.571176199,  6016513505,  1385411775
10,  fast,  19,  68.171543275,  6060549572,  1391068742
