iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  16,  23.563806904,  2174292470,  525142535
2,  fast1000,  16,  24.363215551,  2181637160,  433180033
3,  fast1000,  16,  25.965738021,  2182117615,  543201037
4,  fast1000,  16,  23.964269092,  2248847462,  584577919
5,  fast1000,  16,  25.965279451,  2204887453,  533182491
6,  fast1000,  16,  24.963534101,  2243593621,  526747205
7,  fast1000,  16,  23.963478620,  2146445521,  424287838
8,  fast1000,  16,  25.362982559,  2192146247,  425116770
9,  fast1000,  16,  25.763300526,  2170379788,  535181604
10,  fast1000,  16,  26.745798798,  2198868102,  537366969
