iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  4,  3.556335516,  4723825283,  165285388
2,  1,  4,  3.353717317,  4724415384,  162156523
3,  1,  4,  3.354366350,  4723706518,  165278148
4,  1,  4,  3.354579546,  4722961500,  165160221
5,  1,  4,  3.555061388,  4725510690,  165763040
6,  1,  4,  3.354593402,  4723851560,  162064452
7,  1,  4,  3.354256460,  4723557794,  162113794
8,  1,  4,  3.353698938,  4720357347,  161959494
9,  1,  4,  3.354235555,  4725459580,  165292374
10,  1,  4,  3.354688210,  4723342654,  165194549
