iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  4,  29.971651358,  1281696435,  488208320
2,  fast,  4,  29.965189276,  1268984178,  426426426
3,  fast,  4,  30.165596330,  1303645410,  484135498
4,  fast,  4,  28.362963069,  1218158340,  410225972
5,  fast,  4,  28.763969155,  1211851474,  403365628
6,  fast,  4,  30.364157373,  1247509479,  425258958
7,  fast,  4,  27.561532038,  1221470984,  392996252
8,  fast,  4,  29.364131873,  1236525760,  419897045
9,  fast,  4,  29.162963200,  1233139834,  403030020
10,  fast,  4,  28.364671757,  1213387257,  403359078
