iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  19,  2.753692444,  3847242625,  185266623
2,  1,  19,  2.553248621,  3844801688,  184299842
3,  1,  19,  2.754078942,  3841934468,  195968467
4,  1,  19,  2.754733713,  3839830217,  194592257
5,  1,  19,  2.754037223,  3844762990,  195181242
6,  1,  19,  2.753410562,  3837248431,  195909635
7,  1,  19,  2.754655264,  3826139228,  188909752
8,  1,  19,  2.754703887,  3844789752,  195683368
9,  1,  19,  2.754415908,  3853239240,  194853578
10,  1,  19,  2.553925266,  3836090280,  188345819
