iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  1,  9.837544212,  4585890894,  153946114
2,  fast1000,  1,  9.843689398,  4590028936,  153957111
3,  fast1000,  1,  9.830813503,  4582224570,  153953652
4,  fast1000,  1,  9.817877378,  4580503130,  153960434
5,  fast1000,  1,  9.842870398,  4589583649,  153930320
6,  fast1000,  1,  9.812684462,  4589815991,  153959162
7,  fast1000,  1,  9.789709848,  4594074452,  153955346
8,  fast1000,  1,  9.812752361,  4584134376,  153951391
9,  fast1000,  1,  9.838853493,  4583810262,  153951380
10,  fast1000,  1,  9.837106767,  4586228431,  153952431
